Player,Value,Squad
Pavel Popov,0.2,Samara
Vladimir Ignatenko,0.0,Samara
Evgeniy Staver,1.5,Rubin Kazan
Artur Nigmatullin,0.4,Rubin Kazan
Nikita Korets,0.0,Rubin Kazan
Ilya Ezhov,0.0,Rubin Kazan
Igor Vujacic,3.0,Rubin Kazan
Egor Teslenko,2.0,Rubin Kazan
Aleksey Gritsaenko,1.8,Rubin Kazan
Rustam Ashurmatov,0.6,Rubin Kazan
Konstantin Nizhegorodov,0.3,Rubin Kazan
Ilya Rozhkov,2.5,Rubin Kazan
Dmitriy Kabutov,0.8,Rubin Kazan
Veldin Hodza,3.0,Rubin Kazan
Ugochukwu Iwu,2.5,Rubin Kazan
Umarali Rakhmonaliev,0.65,Rubin Kazan
Nikita Vasiljev,0.1,Rubin Kazan
Valentín Vada,1.8,Rubin Kazan
Bogdan Jocic,0.8,Rubin Kazan
Aleksandar Jukic,0.6,Rubin Kazan
Marat Apshatsev,0.3,Rubin Kazan
Aleksandr Zotov,0.15,Rubin Kazan
Ruslan Bezrukov,1.0,Rubin Kazan
Oleg Ivanov,0.1,Rubin Kazan
Daniil Kuznetsov,0.35,Rubin Kazan
Nikola Cumic,1.5,Rubin Kazan
Aleksandr Lomovitskiy,0.5,Rubin Kazan
Enri Mukba,0.0,Rubin Kazan
Mirlind Daku,8.0,Rubin Kazan
Dardan Shabanhaxhaj,1.2,Rubin Kazan
Marvin Cuni,1.0,Rubin Kazan
Vitaliy Lisakovich,0.8,Rubin Kazan
Joel Fameyeh,0.75,Rubin Kazan
Kasra Taheri,0.1,Rubin Kazan
Vadim Ulyanov,0.5,Rubin Kazan
Giorgiy Shelia,0.3,Akhmat Grozny
Mikhail Oparin,0.25,Akhmat Grozny
Yakhya Magomedov,0.0,Akhmat Grozny
Turpal-Ali Ibishev,1.5,Akhmat Grozny
Nader Ghandri,0.9,Akhmat Grozny
Milos Satara,0.5,Akhmat Grozny
Aleksandr Zhirov,0.3,Akhmat Grozny
Miroslav Bogosavac,1.0,Akhmat Grozny
Lucas Lovat,0.7,Akhmat Grozny
Leo Goglichidze,0.6,Akhmat Grozny
Arsen Adamov,2.0,Akhmat Grozny
Darko Todorovic,1.0,Akhmat Grozny
Rizvan Utsiev,0.05,Akhmat Grozny
Ilyas Gaibov,0.0,Akhmat Grozny
Camilo,1.2,Akhmat Grozny
Anton Shvets,0.8,Akhmat Grozny
Amine Talal,0.8,Akhmat Grozny
Vladislav Kamilov,0.8,Akhmat Grozny
Ismael Silva,0.7,Akhmat Grozny
Zaim Divanovic,0.15,Akhmat Grozny
Minkail Matsuev,0.05,Akhmat Grozny
Daniil Turishchev,0.0,Akhmat Grozny
Evgeniy Kharin,0.8,Akhmat Grozny
Magomed Yakuev,0.05,Akhmat Grozny
Mauro Luna Diale,1.0,Akhmat Grozny
Lechi Sadulaev,3.5,Akhmat Grozny
Bernard Berisha,0.6,Akhmat Grozny
Maksim Samorodov,2.5,Akhmat Grozny
Svetoslav Kovachev,0.8,Akhmat Grozny
Gamid Agalarov,1.2,Akhmat Grozny
Felippe Cardoso,0.75,Akhmat Grozny
Georgiy Melkadze,0.7,Akhmat Grozny
Rodrigo Ruiz Díaz,0.5,Akhmat Grozny
Nikita Kokarev,1.5,FC Khimki
Igor Obukhov,0.4,FC Khimki
Yaroslav Burychenkov,0.0,FC Khimki
Ilya Tuseev,0.0,FC Khimki
Georgiy Dzhikiya,2.0,FC Khimki
Sergey Varatynov,1.0,FC Khimki
Edgardo Fariña,1.0,FC Khimki
Aleksandr Filin,1.0,FC Khimki
Zakhar Volkov,0.75,FC Khimki
Nemanja Andjelkovic,0.75,FC Khimki
Diego Luna,0.5,FC Khimki
Stefan Melentijevic,0.2,FC Khimki
Cédric Gogoua,0.15,FC Khimki
Irakliy Chezhia,0.0,FC Khimki
Danil Stepanov,0.6,FC Khimki
Orinho,0.6,FC Khimki
Sergey Terekhov,0.25,FC Khimki
Rasul Guseynov,0.0,FC Khimki
Dani Fernández,0.8,FC Khimki
Oleg Isaenko,0.35,FC Khimki
