Player,Value,Squad
Neto,1.5,Bournemouth
Callan McKenna,0.6,Bournemouth
Will Dennis,0.35,Bournemouth
Dean Huijsen,60.0,Bournemouth
Ilya Zabarnyi,42.0,Bournemouth
Marcos Senesi,22.0,Bournemouth
Chris Mepham,6.0,Bournemouth
James Hill,3.0,Bournemouth
Matai Akinmboni,1.0,Bournemouth
Max Kinsey,0.0,Bournemouth
Milos Kerkez,45.0,Bournemouth
Julio Soler,8.0,Bournemouth
Archie Harris,0.1,Bournemouth
Julián Araujo,10.0,Bournemouth
Max Aarons,6.0,Bournemouth
Adam Smith,0.75,Bournemouth
Tyler Adams,18.0,Bournemouth
Ben Winterburn,0.5,Bournemouth
Alex Scott,20.0,Bournemouth
Lewis Cook,15.0,Bournemouth
Philip Billing,10.0,Bournemouth
Ryan Christie,10.0,Bournemouth
Marcus Tavernier,18.0,Bournemouth
Justin Kluivert,35.0,Bournemouth
Dango Ouattara,28.0,Bournemouth
Hamed Traoré,20.0,Bournemouth
Luis Sinisterra,15.0,Bournemouth
Jaidon Anthony,9.0,Bournemouth
Zain Silcott-Duberry,0.2,Bournemouth
Antoine Semenyo,40.0,Bournemouth
David Brooks,10.0,Bournemouth
Dominic Sadi,0.15,Bournemouth
Evanilson,35.0,Bournemouth
Enes Ünal,10.0,Bournemouth
Daniel Jebbison,4.0,Bournemouth
Remy Rees-Dottin,0.3,Bournemouth
Daniel Adu-Adjei,0.15,Bournemouth
Matz Sels,7.0,Nott'ham Forest
Carlos Miguel,4.0,Nott'ham Forest
Matt Turner,2.5,Nott'ham Forest
Wayne Hennessey,0.15,Nott'ham Forest
Murillo,55.0,Nott'ham Forest
Nikola Milenković,35.0,Nott'ham Forest
Morato,14.0,Nott'ham Forest
Andrew Omobamidele,8.0,Nott'ham Forest
Willy Boly,1.5,Nott'ham Forest
Tyler Bindon,1.2,Nott'ham Forest
Zach Abbott,0.3,Nott'ham Forest
Neco Williams,20.0,Nott'ham Forest
Álex Moreno,7.0,Nott'ham Forest
Harry Toffolo,3.0,Nott'ham Forest
Ola Aina,22.0,Nott'ham Forest
Eric da Silva Moreira,1.0,Nott'ham Forest
Danilo,28.0,Nott'ham Forest
Ibrahim Sangaré,24.0,Nott'ham Forest
Ben Perry,0.15,Nott'ham Forest
Elliot Anderson,32.0,Nott'ham Forest
Nicolás Domínguez,18.0,Nott'ham Forest
Ryan Yates,12.0,Nott'ham Forest
James Ward-Prowse,8.0,Nott'ham Forest
Lewis O'Brien,4.0,Nott'ham Forest
Morgan Gibbs-White,50.0,Nott'ham Forest
Callum Hudson-Odoi,25.0,Nott'ham Forest
Ramón Sosa,12.0,Nott'ham Forest
Anthony Elanga,42.0,Nott'ham Forest
Jota Silva,15.0,Nott'ham Forest
Josh Bowler,1.0,Nott'ham Forest
Taiwo Awoniyi,16.0,Nott'ham Forest
Chris Wood,10.0,Nott'ham Forest
Emmanuel Dennis,2.5,Nott'ham Forest
José Sá,7.0,Wolves
Sam Johnstone,6.0,Wolves
Daniel Bentley,1.5,Wolves
Tom King,0.2,Wolves
Toti,28.0,Wolves
Emmanuel Agbadou,20.0,Wolves
Santiago Bueno,10.0,Wolves
Nasser Djiga,10.0,Wolves
Yerson Mosquera,8.0,Wolves
Bastien Meupiyou,2.5,Wolves
Craig Dawson,1.5,Wolves
Alfie Pond,0.25,Wolves
Rayan Aït-Nouri,35.0,Wolves
Nélson Semedo,9.0,Wolves
Pedro Lima,5.0,Wolves
Matt Doherty,2.0,Wolves
Wesley Okoduwa,0.0,Wolves
André,28.0,Wolves
Mario Lemina,7.5,Wolves
Boubacar Traoré,5.0,Wolves
Joe Hodge,1.0,Wolves
Luke Rawlings,0.0,Wolves
João Gomes,40.0,Wolves
Jean-Ricner Bellegarde,18.0,Wolves
Marshall Munetsi,15.0,Wolves
Tommy Doyle,10.0,Wolves
Luke Cundle,3.2,Wolves
Rodrigo Gomes,15.0,Wolves
Chem Campbell,0.9,Wolves
Tawanda Chirewa,0.5,Wolves
Gonçalo Guedes,11.0,Wolves
Carlos Forbs,8.0,Wolves
Daniel Podence,5.5,Wolves
Enso González,4.0,Wolves
Chiquinho,2.0,Wolves
Pablo Sarabia,5.0,Wolves
Tom Edozie,0.0,Wolves
Matheus Cunha,60.0,Wolves
Jørgen Strand Larsen,30.0,Wolves
Hee-chan Hwang,12.0,Wolves
Sasa Kalajdzic,4.0,Wolves
Leon Chiwome,0.7,Wolves
Nathan Fraser,0.6,Wolves
Mateus Mané,0.2,Wolves
Mark Flekken,10.0,Brentford
Hákon Valdimarsson,2.5,Brentford
Matthew Cox,0.8,Brentford
Ben Winterbottom,0.0,Brentford
Julian Eyestone,0.0,Brentford
Nathan Collins,28.0,Brentford
Sepp van den Berg,22.0,Brentford
Kristoffer Ajer,18.0,Brentford
Ethan Pinnock,7.0,Brentford
Ben Mee,0.7,Brentford
Ji-soo Kim,0.6,Brentford
Benjamin Fredrick,0.15,Brentford
Benjamin Arthur,0.0,Brentford
Rico Henry,15.0,Brentford
Jayden Meghoma,0.5,Brentford
Michael Kayode,18.0,Brentford
Aaron Hickey,10.0,Brentford
Mads Roerslev,6.0,Brentford
Vitaly Janelt,20.0,Brentford
Christian Nørgaard,11.0,Brentford
Yunus Konak,4.5,Brentford
Yegor Yarmolyuk,15.0,Brentford
Mathias Jensen,14.0,Brentford
Frank Onyeka,7.0,Brentford
Josh Dasilva,5.0,Brentford
Paris Maghoma,0.8,Brentford
Ryan Trevitt,0.275,Brentford
Keane Lewis-Potter,23.0,Brentford
Mikkel Damsgaard,28.0,Brentford
Fábio Carvalho,14.0,Brentford
Myles Peart-Harris,0.9,Brentford
