Player,Value,Squad
Angelo Stiller,45.0,Stuttgart
Atakan Karazor,12.0,Stuttgart
Yannik Keitel,3.5,Stuttgart
Nikolas Nartey,0.4,Stuttgart
Enzo Millot,35.0,Stuttgart
Fabian Rieder,6.0,Stuttgart
Chris Führich,15.0,Stuttgart
Jacob Bruun Larsen,5.0,Stuttgart
Justin Diehl,3.0,Stuttgart
Jarzinho Malanga,1.7,Stuttgart
Benjamin Boakye,0.5,Stuttgart
Jamie Leweling,20.0,Stuttgart
Silas,7.0,Stuttgart
Luca Raimund,0.4,Stuttgart
Nick Woltemade,30.0,Stuttgart
Ermedin Demirovic,22.0,Stuttgart
Deniz Undav,20.0,Stuttgart
El Bilal Touré,15.0,Stuttgart
Wahid Faghir,0.7,Stuttgart
Eliot Bujupi,0.5,Stuttgart
Thomas Kastanaras,0.4,Stuttgart
Kamil Grabara,14.0,Wolfsburg
Marius Müller,1.5,Wolfsburg
Pavao Pervan,0.3,Wolfsburg
Niklas Klinger,0.1,Wolfsburg
Maxence Lacroix,25.0,Wolfsburg
Konstantinos Koulierakis,25.0,Wolfsburg
Cédric Zesiger,7.0,Wolfsburg
Denis Vavro,7.0,Wolfsburg
Sebastiaan Bornauw,6.0,Wolfsburg
Moritz Jenz,5.0,Wolfsburg
David Odogu,1.5,Wolfsburg
Mathys Angély,0.6,Wolfsburg
Till Neininger,0.0,Wolfsburg
Joakim Maehle,14.0,Wolfsburg
Nicolas Cozza,3.5,Wolfsburg
Rogério,2.5,Wolfsburg
Ridle Baku,9.0,Wolfsburg
Kilian Fischer,6.0,Wolfsburg
Mads Roerslev,6.0,Wolfsburg
Jan Bürger,0.0,Wolfsburg
Salih Özcan,4.0,Wolfsburg
Mattias Svanberg,12.0,Wolfsburg
Aster Vranckx,7.0,Wolfsburg
Maximilian Arnold,5.0,Wolfsburg
Yannick Gerhardt,2.5,Wolfsburg
Kevin Paredes,7.5,Wolfsburg
Lovro Majer,17.0,Wolfsburg
Bence Dárdai,12.0,Wolfsburg
Jakub Kaminski,5.0,Wolfsburg
Patrick Wimmer,15.0,Wolfsburg
Andreas Skov Olsen,14.0,Wolfsburg
Bennit Bröger,0.5,Wolfsburg
Mohamed Amoura,32.0,Wolfsburg
Tiago Tomás,12.0,Wolfsburg
Jonas Wind,12.0,Wolfsburg
Lukas Nmecha,3.0,Wolfsburg
Kevin Behrens,1.0,Wolfsburg
Bartosz Bialek,0.8,Wolfsburg
Jonathan Akaegbobi,0.0,Wolfsburg
Moritz Nicolas,5.0,Gladbach
Jonas Omlin,2.5,Gladbach
Tiago Pereira Cardoso,1.5,Gladbach
Tobias Sippel,0.3,Gladbach
Ko Itakura,12.0,Gladbach
Nico Elvedi,8.0,Gladbach
Marvin Friedrich,3.5,Gladbach
Fabio Chiarodia,2.0,Gladbach
Lukas Ullrich,8.0,Gladbach
Luca Netz,6.0,Gladbach
Joe Scally,10.0,Gladbach
Stefan Lainer,1.2,Gladbach
Julian Weigl,6.0,Gladbach
Niklas Swider,0.25,Gladbach
Veit Stange,0.15,Gladbach
Manu Koné,40.0,Gladbach
Rocco Reitz,15.0,Gladbach
Philipp Sander,4.0,Gladbach
Florian Neuhaus,3.5,Gladbach
Kevin Stöger,3.5,Gladbach
Robin Hack,12.0,Gladbach
Yvandro Borges Sanches,0.5,Gladbach
Noah Pesch,0.3,Gladbach
Franck Honorat,12.0,Gladbach
Nathan Ngoumou,4.0,Gladbach
Charles Herrmann,0.3,Gladbach
Tim Kleindienst,17.0,Gladbach
Alassane Pléa,5.0,Gladbach
Tomas Cvancara,3.0,Gladbach
Grant-Leon Ranos,0.5,Gladbach
Shio Fukuda,0.5,Gladbach
Oliver Baumann,3.0,Hoffenheim
Luca Philipp,0.75,Hoffenheim
Jakob Busk,0.25,Hoffenheim
Lúkas Petersson,0.25,Hoffenheim
Benjamin Lade,0.0,Hoffenheim
Tim Philipp,0.0,Hoffenheim
Leo Østigård,10.0,Hoffenheim
Ozan Kabak,5.0,Hoffenheim
Arthur Chaves,5.0,Hoffenheim
Robin Hranac,3.5,Hoffenheim
Tim Drexler,3.0,Hoffenheim
Kevin Akpoguma,2.5,Hoffenheim
Stanley Nsoki,2.5,Hoffenheim
Attila Szalai,1.7,Hoffenheim
Luca Erlein,0.3,Hoffenheim
Noah König,0.25,Hoffenheim
David Jurásek,5.0,Hoffenheim
Alexander Prass,5.0,Hoffenheim
Christopher Lenz,0.5,Hoffenheim
Hennes Behrens,0.35,Hoffenheim
Valentin Gendrey,7.0,Hoffenheim
Pavel Kaderabek,1.7,Hoffenheim
Lars Strobl,0.025,Hoffenheim
Anton Stach,14.0,Hoffenheim
Florian Grillitsch,2.0,Hoffenheim
Diadié Samassékou,1.0,Hoffenheim
Tom Bischof,30.0,Hoffenheim
Umut Tohumcu,6.0,Hoffenheim
Grischa Prömel,3.0,Hoffenheim
Dennis Geiger,2.0,Hoffenheim
Finn Becker,2.0,Hoffenheim
