Player,Value,Squad
Evert Linthorst,2.5,Go Ahead Eag
Robbin Weijenberg,0.25,Go Ahead Eag
Jakob Breum,5.0,Go Ahead Eag
Søren Tengstedt,0.8,Go Ahead Eag
Oliver Edvardsen,5.0,Go Ahead Eag
Mathis Suray,1.5,Go Ahead Eag
Oskar Sivertsen,1.3,Go Ahead Eag
Darío Serra,0.35,Go Ahead Eag
Oliver Antman,6.0,Go Ahead Eag
Bobby Adekanye,0.65,Go Ahead Eag
Oscar Pettersson,0.5,Go Ahead Eag
Milan Smit,1.5,Go Ahead Eag
Victor Edvardsen,1.3,Go Ahead Eag
Finn Stokkers,0.45,Go Ahead Eag
Thibo Baeten,0.4,Go Ahead Eag
Ofosu Boakye,0.0,Go Ahead Eag
Robin Roefs,4.0,NEC Nijmegen
Stijn van Gassel,0.45,NEC Nijmegen
Rijk Janse,0.025,NEC Nijmegen
Philippe Sandler,2.3,NEC Nijmegen
Brayann Pereira,1.0,NEC Nijmegen
Iván Márquez,0.6,NEC Nijmegen
Bram Nuytinck,0.3,NEC Nijmegen
Thomas Reinders,0.05,NEC Nijmegen
Calvin Verdonk,2.5,NEC Nijmegen
Thomas Ouwejan,1.2,NEC Nijmegen
Bart van Rooij,6.0,NEC Nijmegen
Lefteris Lyratzis,0.85,NEC Nijmegen
D'Leanu Arts,0.05,NEC Nijmegen
Yousri Sbai,0.0,NEC Nijmegen
Dirk Proper,3.0,NEC Nijmegen
Mees Hoedemakers,1.0,NEC Nijmegen
Lasse Schöne,0.075,NEC Nijmegen
Kodai Sano,4.0,NEC Nijmegen
Omar Jamil,0.05,NEC Nijmegen
Sami Ouaissa,1.5,NEC Nijmegen
Vito van Crooij,1.5,NEC Nijmegen
Argyris Darelas,0.25,NEC Nijmegen
Kas de Wit,0.05,NEC Nijmegen
Başar Önal,0.7,NEC Nijmegen
Luc Nieuwenhuijs,0.05,NEC Nijmegen
Sontje Hansen,4.0,NEC Nijmegen
Rober González,1.5,NEC Nijmegen
Lars Olden Larsen,0.5,NEC Nijmegen
Koki Ogawa,2.5,NEC Nijmegen
Kento Shiogai,0.85,NEC Nijmegen
Bryan Linssen,0.4,NEC Nijmegen
Etienne Vaessen,2.0,Groningen
Hidde Jurjus,0.3,Groningen
Dirk Baron,0.025,Groningen
Jasper Meijster,0.025,Groningen
Hjalmar Ekdal,4.5,Groningen
Thijmen Blokzijl,2.0,Groningen
Finn Stam,0.45,Groningen
Marvin Peersman,0.3,Groningen
Sven Bouland,0.15,Groningen
Maxim Mariani,0.075,Groningen
Roy Leicester,0.0,Groningen
Wouter Prins,0.8,Groningen
Marco Speelman,0.0,Groningen
Marco Rente,0.8,Groningen
Stije Resink,4.0,Groningen
Laros Duarte,0.9,Groningen
Joey Pelupessy,0.25,Groningen
Luciano Valente,7.0,Groningen
Dave Kwakman,2.0,Groningen
Tika de Jonge,0.9,Groningen
Leandro Bacuna,0.3,Groningen
Johan Hove,2.0,Groningen
Mats Seuntjens,0.55,Groningen
Thijs Oosting,0.5,Groningen
David van der Werff,0.0,Groningen
Noam Emeran,0.2,Groningen
Fofin Turay,0.1,Groningen
Jorg Schreuders,1.2,Groningen
Rui Mendes,0.35,Groningen
Thom van Bergen,1.3,Groningen
Brynjólfur Willumsson,0.7,Groningen
Romano Postema,0.45,Groningen
Kevin van Veen,0.2,Groningen
Alex Mortensen,0.0,Groningen
Nils Eggens,0.0,Groningen
Jasper Schendelaar,2.5,Zwolle
Mike Hauptmeijer,0.1,Zwolle
Kenneth Vermeer,0.05,Zwolle
Duke Verduin,0.025,Zwolle
Nick Dobben,0.0,Zwolle
Anselmo García MacNulty,1.5,Zwolle
Simon Graves,1.5,Zwolle
Damian van der Haar,0.6,Zwolle
Dylan Ruward,0.0,Zwolle
Sherel Floranus,0.85,Zwolle
Thierry Lutonda,0.3,Zwolle
Tristan Gooijer,1.5,Zwolle
Olivier Aertssen,0.75,Zwolle
Anouar El Azzouzi,1.8,Zwolle
Ryan Thomas,0.7,Zwolle
Nick Fichtinger,0.45,Zwolle
Davy van den Berg,2.0,Zwolle
Jamiro Monteiro,1.0,Zwolle
Teun Gijselhart,0.05,Zwolle
Filip Krastev,4.0,Zwolle
Odysseus Velanas,0.55,Zwolle
Anthony Fontana,0.3,Zwolle
Samir Lagsir,0.15,Zwolle
Mohamed Oukhattou,0.05,Zwolle
Gabriël Reiziger,0.0,Zwolle
Kaj de Rooij,0.35,Zwolle
Dylan Mbayo,2.0,Zwolle
Younes Namli,1.3,Zwolle
Eliano Reijnders,0.6,Zwolle
Braydon Manu,0.5,Zwolle
Dylan Vente,2.0,Zwolle
Thomas Buitink,0.4,Zwolle
Apostolos Vellios,0.175,Zwolle
Mattijs Branderhorst,0.8,Fortuna Sittard
Luuk Koopmans,0.2,Fortuna Sittard
Niels Martens,0.025,Fortuna Sittard
Ramazan Bayram,0.025,Fortuna Sittard
Rodrigo Guth,2.8,Fortuna Sittard
Shawn Adewoye,1.3,Fortuna Sittard
Syb van Ottele,1.0,Fortuna Sittard
Darijo Grujcic,0.25,Fortuna Sittard
Sofiane Et-Taïbi,0.0,Fortuna Sittard
Jasper Dahlhaus,1.0,Fortuna Sittard
Daley Sinkgraven,0.6,Fortuna Sittard
Mitchell Dijks,0.6,Fortuna Sittard
Ivo Pinto,0.3,Fortuna Sittard
Loreintz Rosier,0.9,Fortuna Sittard
Tristan Schenkhuizen,0.025,Fortuna Sittard
Abdurrahman Burak Sayin,0.0,Fortuna Sittard
Alhaji Bah,0.0,Fortuna Sittard
Edouard Michut,1.8,Fortuna Sittard
Ryan Fosso,1.5,Fortuna Sittard
Samuel Bastien,0.65,Fortuna Sittard
Hasip Korkmazyürek,0.0,Fortuna Sittard
Ezequiel Bullaude,2.5,Fortuna Sittard
Alen Halilovic,1.0,Fortuna Sittard
Luka Tunjic,0.45,Fortuna Sittard
Kristoffer Peterson,0.8,Fortuna Sittard
Makan Aïko,0.6,Fortuna Sittard
Alessio da Cruz,0.6,Fortuna Sittard
Úmaro Embaló,0.7,Fortuna Sittard
Josip Mitrovic,0.5,Fortuna Sittard
Milan Robberechts,0.3,Fortuna Sittard
Kaj Sierhuis,1.3,Fortuna Sittard
Bojan Radulović,0.8,Fortuna Sittard
Ante Erceg,0.1,Fortuna Sittard
Onur Demir,0.025,Fortuna Sittard
Owen Johnson,0.0,Fortuna Sittard
Sjors-Lowis Hermsen,0.0,Fortuna Sittard
Daniel Bielica,1.0,NAC Breda
Roy Kortsmit,0.2,NAC Breda
Kostas Lamprou,0.2,NAC Breda
Tein Troost,0.175,NAC Breda
Aron van Lare,0.025,NAC Breda
Leo Greiml,2.0,NAC Breda
Jan Van den Bergh,0.8,NAC Breda
Terence Kongolo,0.5,NAC Breda
Enes Mahmutovic,0.4,NAC Breda
