Player
Brayann Pereira
Alessandro Vogliacco
Sam Beukema
Jerry St. Juste
Joao Goulart Silva
Milos Kerkez
Wouter Prins
Julian Araujo
Cristian Gamboa
Odilon Kossounou
Rodrigo Abascal
Loic Lapoussin
Bram Lagae
Said Bakari
Hamari Traore
Ryan Flamingo
Garcia
Danilo D'Ambrosio
Lautaro Valenti
Lucas Vazquez
Caio Henrique Oliveira Silva
Antonio Raillo
Matisse Samoise
Ibrahim Diakite
Francisco Chissumba
Kostas Tsimikas
Check Keita
Alessio Romagnoli
Omar Richards
Maximilian Wittek
Shogo Taniguchi
Axel Tuanzebe
Max Rosenfelder
Luca Jaquez
Robin Le Normand
Mika Marmol
Otavio Ataide
Ismaily
Gilles Dewaele
Gilles Ruyssen
Edgaras Utkus
Rasmus Nicolaisen
Marko Ivezic
Pau Cubarsi
Ainsley Maitland-Niles
Faissal Al Mazyani
Terence Kongolo
Miguel Maga
Richy Ledezma
Nicolas Marichal
Thomas Foket
Federico Baschirotto
Paul Joly
Ruben Lima
Enes Mahmutovic
Adam Obert
Diogo Leite
Ivan Marcano
Ronald Araujo
Jaka Bijol
Arsen Adamov
Mees Hilgers
Adrian Marin
Maksim Sidorov
Rodrigo Guth
Leny Yoro
Mikel Villanueva
Denso Kasius
Amar Dedic
Steven Vitoria
Nnamdi Collins
Nathan Collins
Jorge Herrando
Marvin Young
Andrew Omobamidele
Jarrad Branthwaite
Andreas Hanche-Olsen
Christian Burgess
Ridgeciano Haps
Daley Blind
Issiaga Sylla
Kieran Trippier
Dodo
Lilian Brassier
Alex Grimaldo
Gustaf Lagerbielke
Juan David Cabal
Toni Borevkovic
Enzo Boyomo
Marvin Friedrich
Armando Obispo
Davide Faraoni
Cenk Ozkacar
Luca Caldirola
Julien Le Cardinal
Oscar Rivas
Sead Kolasinac
Umit Akdag
Javi Galan
Luca Pellegrini
Joris Kramer
Francesco Acerbi
Yann Aurel Bisseck
Givairo Read
Clement Lenglet
Fabien Centonze
Dante
Loic Bade
Filipe Relvas
Jannes Wieckhoff
Nicolas Tagliafico
Jesus Vazquez
Trevoh Chalobah
Raoul Bellanova
Jorge Teixeira
Leonardo Realpe
Bernardo
Sergi
Maxence Lacroix
Welington
Joao Escoval
Gernot Trauner
Arvid Brorsson
Philippe Sandler
Denzel Hall
Daniel Munoz
Tariq Lamptey
Federico Gatti
Jake O'Brien
Stefan Bell
Jemal Tabidze
Copete
Jay Idzes
Moritz Jenz
Senna Miangue
Axel Disasi
Taylor Harwood-Bellis
Stefan Posch
Issiar Drame
Manuel Akanji
Roman Yevgenyev
Jan Van den Bergh
Tyrell Malacia
Strahinja Pavlovic
Jakov Medic
Niklas Stark
Luka Vuskovic
Jonathan Gradit
Timo Becker
Stanley N'Soki
Hans Hateboer
Malick Thiaw
Augusto Dabo
Owen Wijndal
Cristiano Biraghi
Joel Veltman
Joey Jacobs
Guillermo Maripan
Daniele Ghilardi
Adryelson
Arthur Chaves
Cedric Kipre
Diego Carlos
Matteo Dams
Mergim Vojvoda
Derrick Tshimanga
Bruno Godeau
Ze Carlos
Kazimcan Karatas
Mickael Tirpan
Yuri Berchiche
Marcus Coco
Reinildo Mandava
Marquinhos
Ulisses Garcia
Fabian Schar
Davide Calabria
Sepp van den Berg
Dominik Oroz
Juan Caceres
Martim Fernandes
Victor Bernth Kristiansen
Derek Cornelius
Joel Schingtienne
Marin Sverko
Marcos Alonso
Arthur
Pedro gomes
Alexander Prass
Manu Sanchez
Charalampos Lykogiannis
Jon Martin
Josip Sutalo
Arouna Sangante
Kilian Fischer
Omar El Hilali
Bram Nuytinck
Ryotaro Tsunoda
Moussa N'Diaye
Adam Masina
Jeremy Jacquet
Gaby Jean
Konstantinos Mavropanos
Dario Van den Buijs
Nick Viergever
Thibault Vlietinck
Nader Ghandri
Johan Vasquez
Seamus Coleman
Leo Santos
Paulo Vitor
Arthur Theate
Lisandro Martinez
Danilo Veiga
Andreas Christensen
Sergei Bryzgalov
Lucas Oliveira Rosa
Charlie Taylor
Bafode Diakite
Takuma Ominami
Anthony Jung
Diego
Alessandro Buongiorno
Benjamin Henrichs
Harry Maguire
Matheus Reis
Mario Gila
Justin Hoogma
Joao Silva
James Lawrence
Ardian Ismajli
Levi Colwill
Kazu
Jordan Teze
Philipp Lienhart
Marin Pongracic
Alfonso Espino
Bojan Dimoski
Alidu Seidu
Marash Kumbulla
Jorrel Hato
Thibault De Smet
Fabio Chiarodia
Nahuel Tenaglia
Souleymane Toure
Marlon Fossey
David Nemeth
Luis Carlos Rocha Rodrigues
Sergei Terekhov
Carlos Romero
Milan Skriniar
Djevencio van der Kust
Gilberto Batista
Enea Mihaj
Sidney
Julian Malatini
Josue Sa
