Player
Sean Longstaff
Jan Zamburek
Faisal Al Ghamdi
Will Hughes
Kevin Stoger
Andras Schafer
Ibrahima Camara
Hugo Guillamon
Vitor Carvalho
Patrick Osterhage
Leo Cordeiro
Elvis Rexhbecaj
Flynn Downes
Uros Racic
Manuel Locatelli
Justin Smith
Alonzo Engwanda
Emile Smith Rowe
Mohamed Haj
Ezechiel Banzuzi
Thomas Lemar
Stije Resink
Mats Pannewig
Rodrigo Bentancur
Enzo Loiodice
Mattias Svanberg
Jordan James
Joshua King
Shiloh ’t Zand
Teddy Teuma
Marc Roca
Mathis Amougou
Philip Billing
Abdoulaye Doucoure
Isco
Florentino Luis
Godfried Roemeratoe
Danilo Cataldi
Adrien Rabiot
Viktor Kovalenko
Filipe Soares
Taichi Fukui
Theofanis Bakoulas
Jan Schoppner
Enric Llansana
Mathias Kjolo
Piotr Zielinski
Oscar Hojlund
Pedrinho Santos
Brais Mendez
Mats Rits
Jean Onana
Dan Glazer
Amir Richardson
Serhiy Sydorchuk
Metinho
Davy Klaassen
Ismael
Aleksandr Troshechkin
Leonardo Bittencourt
Omar Mascarell
Amadou Haidara
Nicolo Barella
Andre-Frank Zambo Anguissa
Sem Steijn
Rodrigo De Paul
Enzo Fernandez
Diego Gomez
Amine Lachkar
Ander Guevara
Victorien Angban
Luuk Brouwers
Ramiz Zerrouki
Gio Reyna
Simon Sohm
Maksim Vityugov
Armin Gigovic
Mathias Jensen
Jesper Karlstrom
Bogdan Jocic
Artur Galoyan
William Carvalho
Daan Heymans
Houssem Eddine Mrezigue
Ryan Thomas
Koke
Morten Frendrup
Tom Cairney
Yassin Belkhdim
Alexis Mac Allister
Evert Linthorst
Mateus Fernandes
Anthony Losilla
Hernani
Hong Hyunseok
Christopher Martins
Cesare Casadei
Brian De Keersmaecker
Pieter Gerkens
Samu
Nikola Moro
Robert Meji­a
Batxi
Dennis Praet
Emircan Gurluk
Lucas Gourna-Douath
Jens Cajuste
Mauro Arambarri
Javier Guerra
Khetag Khosonov
Ngal'Ayel Mukau
Pierrick Capelle
Dave Van Den Berg
Saul Niguez
Reda Belahyane
Jean-Daniel Akpa-Akpro
Xeka
Hugo Sotelo
Marc Casado
Noah Sadiki
Kevin Zeroli
İlkay Gundogan
Joey Veerman
Lucas Da Cunha
Aleksandr Zotov
Julian Brandt
Christian Eriksen
Ilzat Akhmetov
Tomas Handel
Christoph Baumgartner
Amar Rahmanovic
Samu Costa
Mohammed Ghorbani
Stanislav Lobotka
Wilfred Ndidi
Michel Aebischer
Tyler Adams
Ismael Silva Lima
Almoatasem Al Musrati
Carlo Boukhalfa
Zinedine Ould Khaled
Arthur Melo
Ivan Basic
Amine Harit
Julian Niehues
Tommy Doyle
Lucas Torro
Siebe Schrijvers
Joao Teixeira
Amara Conde
Nicolo Fagioli
Telasco Segovia
Manu Kone
Victor Meseguer
Emi Buendia
Matus Bero
Dirk Proper
Pablo Barrios
Jens Toornstra
Domen Crnigoj
Jamiro Monteiro
Ruben Loftus-Cheek
Maksim Kuzmin
Bryan Cristante
Maximilian Arnold
Tom van de Looi
Olasagasti
Claudinho
Andre Gomes
Daniel Bandeira
Nathan Rodes
Oscar Valentin
Donny van de Beek
Cheick Doucoure
Adam Lallana
Gvidas Gineitis
Tanguy Ndombele
Jordan Ferri
Zidane Iqbal
Anouar Ait El Hadj
Victor Jensen
Wendel
Ross Barkley
Edgar Sevikyan
Milan Badelj
Nemanja Matic
Jose Gragera
Warren Bondo
Alfie Devine
Diadie Samassekou
Aleksandr Chernikov
Calvin Twigt
Stepan Oganesyan
Ifet Djakovac
Djibril Sow
Declan Rice
Zalimkhan Yusupov
