Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Fellipe Mateus,BRA,MF,CriciГєma,32,21.0,3,36,17,47.2,1.72,0.81,0.08,0.18,0,0
Matheusinho,BRA,"MF,FW",VitГіria,26,27.4,5,52,22,42.3,1.90,0.80,0.10,0.23,0,0
Matheusinho,BRA,"MF,FW",CriciГєma,25,17.6,5,34,10,29.4,1.93,0.57,0.15,0.50,0,0
Matheuzinho,BRA,"DF,MF",Corinthians,23,24.9,1,18,7,38.9,0.72,0.28,0.06,0.14,0,0
Ricardo Mathias,BRA,FW,Internacional,17,1.0,1,7,2,28.6,6.85,1.96,0.14,0.50,0,0
Mauricio,BRA,MF,Internacional,22,4.2,0,7,2,28.6,1.65,0.47,0.00,0.00,0,0
Mauricio,BRA,MF,Palmeiras,22,12.6,3,26,12,46.2,2.07,0.95,0.12,0.25,0,0
Max,BRA,MF,AtlГ©tico Goianiense,21,2.9,0,5,4,80.0,1.71,1.37,0.00,0.00,0,0
Max,BRA,MF,CuiabГЎ,22,13.5,1,24,5,20.8,1.77,0.37,0.04,0.20,0,0
Maycon,BRA,MF,Corinthians,26,0.5,0,0,0,,0.00,0.00,,,0,0
Mayk,BRA,DF,GrГЄmio,24,3.9,0,1,0,0.0,0.26,0.00,0.00,,0,0
Mayke,BRA,"DF,MF",Palmeiras,31,11.5,1,7,1,14.3,0.61,0.09,0.14,1.00,0,0
Gary Medel,CHI,DF,Vasco da Gama,36,1.2,0,0,0,,0.00,0.00,,,0,0
Eduardo Melo,BRA,FW,CriciГєma,22,0.2,0,0,0,,0.00,0.00,,,0,0
Felipe Melo,BRA,DF,Fluminense,40,4.6,0,1,0,0.0,0.22,0.00,0.00,,0,0
Memphis,NED,FW,Corinthians,29,8.8,7,34,15,44.1,3.86,1.70,0.18,0.40,1,1
Douglas Mendes,BRA,DF,RB Bragantino,19,15.0,2,10,3,30.0,0.67,0.20,0.20,0.67,0,0
Matheus Mendes,BRA,GK,AtlГ©tico Mineiro,24,12.1,0,0,0,,0.00,0.00,,,0,0
Nathan Mendes,BRA,DF,RB Bragantino,21,12.9,0,10,3,30.0,0.77,0.23,0.00,0.00,0,0
Vinicius MendonГ§a,BRA,"MF,FW",RB Bragantino,19,8.0,2,20,10,50.0,2.51,1.25,0.10,0.20,0,0
Jean Meneses,CHI,MF,Vasco da Gama,30,3.2,0,2,0,0.0,0.62,0.00,0.00,,0,0
Gabriel Menino,BRA,MF,Palmeiras,23,11.9,1,29,7,24.1,2.45,0.59,0.03,0.14,0,0
Gabriel Mercado,ARG,DF,Internacional,36,13.2,1,7,2,28.6,0.53,0.15,0.14,0.50,0,0
Higor MeritГЈo,BRA,MF,CriciГєma,29,11.6,2,16,5,31.3,1.38,0.43,0.13,0.40,0,0
Michael,BRA,"MF,FW",Flamengo,27,7.3,4,17,11,64.7,2.34,1.52,0.24,0.36,0,0
Carlos Miguel,BRA,GK,Corinthians,25,6.0,0,0,0,,0.00,0.00,,,0,0
Luis Miguel,BRA,FW,VitГіria,18,0.2,0,0,0,,0.00,0.00,,,0,0
Lucas Mineiro,BRA,MF,CuiabГЎ,27,26.0,0,12,1,8.3,0.46,0.04,0.00,0.00,0,0
Moises,BRA,"MF,FW",Fortaleza,27,13.0,7,33,13,39.4,2.54,1.00,0.21,0.54,0,0
Miguel Monsalve,COL,"MF,FW",GrГЄmio,19,10.9,3,17,4,23.5,1.56,0.37,0.18,0.75,0,0
Jacob Montes,NCA,MF,Botafogo (RJ),25,0.2,1,1,1,100.0,4.74,4.74,1.00,1.00,0,0
