Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Value,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Thierry Ambrose,GLP,FW,Kortrijk,27,29,18,1717,19.1,6,2,8,5,1,1,5,0,0.31,0.1,0.42,0.26,0.37,0.9,58.0,20.0,34.5,2.48,0.86,0.09,0.25,0.0,14.0,28.0,21.0,31.0,3.0,8.0,0.0
Francis Amuzu,BEL,FW,Anderlecht,24,18,7,715,7.9,2,2,4,2,0,0,1,0,0.25,0.25,0.5,0.25,0.5,4.0,18.0,6.0,33.3,2.27,0.76,0.11,0.33,0.0,6.0,14.0,6.0,55.0,3.0,8.0,0.0
Frederic Ananou,TOG,"DF,MF",Sint-Truiden,26,5,2,200,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,6.0,0.0
Stelios Andreou,CYP,DF,Charleroi,22,27,24,2174,24.2,1,0,1,1,0,0,5,1,0.04,0.0,0.04,0.04,0.04,3.5,11.0,3.0,27.3,0.32,0.09,0.09,0.33,1.0,15.0,7.0,1.0,5.0,43.0,26.0,0.0
Nilson Angulo,ECU,"FW,DF",Anderlecht,21,19,3,459,5.1,1,3,4,1,0,0,1,0,0.2,0.59,0.78,0.2,0.78,2.0,21.0,3.0,14.3,1.61,0.23,0.05,0.33,0.0,27.0,26.0,4.0,39.0,7.0,29.0,0.0
Bill Antonio,ZIM,"DF,FW",Mechelen,21,8,3,348,3.9,0,2,2,0,0,0,1,0,0.0,0.52,0.52,0.0,0.52,1.2,11.0,4.0,36.4,1.7,0.62,0.09,0.25,0.0,10.0,5.0,3.0,19.0,5.0,5.0,0.0
Tiago Araujo,POR,"DF,MF",Gent,23,16,5,583,6.5,0,1,1,0,0,0,2,0,0.0,0.15,0.15,0.0,0.15,1.3,27.0,6.0,22.2,1.83,0.41,0.0,0.0,0.0,10.0,10.0,2.0,74.0,3.0,18.0,1.0
Kristian Arnstad,NOR,DF,Anderlecht,20,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
Tolu Arokodare,NGA,FW,Genk,23,30,28,2314,25.7,17,5,22,17,0,1,2,0,0.66,0.19,0.86,0.66,0.86,18.0,157.0,51.0,32.5,4.62,1.5,0.13,0.41,0.0,42.0,40.0,19.0,6.0,5.0,10.0,0.0
Raymond Asante,GHA,"FW,MF",Charleroi,20,4,0,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,4.0,0.0,0.0,2.34,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0
Majeed Ashimeru,GHA,MF,Anderlecht,26,13,3,382,4.2,1,1,2,1,0,0,2,0,0.24,0.24,0.47,0.24,0.47,1.5,9.0,2.0,22.2,1.38,0.31,0.11,0.5,0.0,14.0,21.0,1.0,0.0,7.0,13.0,0.0
Ludwig Augustinsson,SWE,DF,Anderlecht,30,16,9,852,9.5,1,1,2,1,0,0,1,0,0.11,0.11,0.21,0.11,0.21,3.0,8.0,2.0,25.0,0.56,0.14,0.13,0.5,0.0,18.0,6.0,0.0,66.0,21.0,24.0,0.0
Felipe Augusto,BRA,"FW,MF",Cercle Brugge,20,25,15,1386,15.4,2,2,4,2,0,1,1,0,0.13,0.13,0.26,0.13,0.26,2.2,51.0,21.0,41.2,2.93,1.21,0.04,0.1,0.0,33.0,26.0,15.0,15.0,6.0,10.0,0.0
Muhammed Badamosi,GAM,FW,Standard Liège,25,8,0,119,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,75.0,3.03,2.27,0.0,0.0,0.0,7.0,5.0,1.0,2.0,0.0,2.0,0.0
Youssouph Badji,SEN,FW,Charleroi,22,5,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.44,0.44,0.0,0.44,1.0,10.0,6.0,60.0,4.39,2.63,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
Bilal Bafdili,BEL,"MF,FW",Mechelen,19,25,5,882,9.8,2,0,2,2,0,0,3,0,0.2,0.0,0.2,0.2,0.2,0.9,16.0,4.0,25.0,1.38,0.35,0.13,0.5,0.0,15.0,8.0,2.0,35.0,4.0,9.0,0.0
Michel-Ange Balikwisha,BEL,"MF,FW",Antwerp,23,5,1,200,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,6.0,42.9,1.16,0.5,0.29,0.67,0.0,14.0,19.0,5.0,38.0,8.0,18.0,0.0
William Balikwisha,COD,"FW,MF",OH Leuven,25,25,12,1082,12.0,1,1,2,1,0,0,2,1,0.08,0.08,0.17,0.08,0.17,1.2,29.0,8.0,27.6,1.78,0.49,0.07,0.25,0.0,13.0,11.0,10.0,42.0,20.0,16.0,0.0
Sacha Banse,BFA,MF,Standard Liège,23,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.65,2.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0
Ezechiel Banzuzi,NED,MF,OH Leuven,19,28,23,2083,23.1,2,5,7,2,0,0,8,1,0.09,0.22,0.3,0.09,0.3,13.0,43.0,14.0,32.6,1.56,0.51,0.05,0.14,1.0,51.0,45.0,0.0,18.0,18.0,51.0,0.0
Joselpho Barnes,GHA,"FW,MF",Sint-Truiden,22,9,0,119,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,3.0,1.0,33.3,2.27,0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Jelle Bataille,BEL,DF,Antwerp,25,19,19,1490,16.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2.5,8.0,2.0,25.0,0.36,0.09,0.0,0.0,0.0,18.0,22.0,1.0,50.0,34.0,46.0,0.0
David Bates,SCO,DF,Standard Liège,27,9,9,776,8.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.2,3.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,15.0,10.0,0.0
Emin Bayram,TUR,DF,Westerlo,21,21,17,1503,16.7,1,0,1,1,0,0,8,2,0.06,0.0,0.06,0.06,0.06,3.5,11.0,4.0,36.4,0.45,0.16,0.09,0.25,2.0,20.0,12.0,1.0,6.0,44.0,24.0,1.0
Gavin Bazunu,IRL,GK,Standard Liège,22,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Zineddine Belaid,ALG,DF,Sint-Truiden,25,12,10,911,10.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.8,6.0,2.0,33.3,0.59,0.2,0.0,0.0,0.0,10.0,1.0,0.0,0.0,13.0,8.0,0.0
Rafik Belghali,ALG,DF,Mechelen,22,26,15,1562,17.4,1,1,2,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,2.5,39.0,14.0,35.9,1.46,0.52,0.03,0.07,0.0,26.0,21.0,5.0,55.0,24.0,33.0,0.0
Quentin Benaets,BEL,"DF,FW",Charleroi,20,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0
Mauricio Benitez,ARG,MF,Antwerp,20,6,5,347,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.8,3.0,1.0,33.3,0.69,0.23,0.0,0.0,0.0,5.0,1.0,0.0,0.0,7.0,2.0,0.0
Soufiane Benjdida,MAR,FW,Standard Liège,22,15,6,565,6.3,2,1,3,0,2,2,1,0,0.32,0.16,0.48,0.0,0.16,0.5,8.0,4.0,50.0,1.27,0.64,0.0,0.0,0.0,13.0,1.0,7.0,4.0,2.0,1.0,0.0
Antoine Bernier,BEL,FW,Charleroi,26,28,19,1667,18.5,3,3,6,3,0,0,5,0,0.16,0.16,0.32,0.16,0.32,1.5,47.0,11.0,23.4,1.82,0.43,0.11,0.45,0.0,23.0,25.0,9.0,62.0,12.0,44.0,0.0
Adriano Bertaccini,BEL,"FW,MF",Sint-Truiden,23,27,26,2221,24.7,16,1,17,14,2,2,8,0,0.65,0.04,0.69,0.57,0.61,4.5,113.0,50.0,44.2,3.7,1.64,0.17,0.38,0.0,34.0,32.0,17.0,14.0,7.0,11.0,0.0
Mohamed Berte,BEL,FW,Dender,22,28,14,1330,14.8,5,1,6,5,0,0,3,0,0.34,0.07,0.41,0.34,0.41,1.2,40.0,18.0,45.0,2.02,0.91,0.23,0.5,0.0,34.0,28.0,3.0,7.0,3.0,19.0,0.0
Mickael Biron,MTQ,"FW,MF",OH Leuven,26,11,0,122,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.2,1.0,1.0,100.0,0.74,0.74,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0
Arnaud Bodart,BEL,GK,Standard Liège,26,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sinan Bolat,TUR,GK,Westerlo,35,11,11,990,11.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
Boli Bolingoli-Mbombo,BEL,DF,Standard Liège,29,12,3,474,5.3,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.5,4.0,1.0,25.0,0.46,0.12,0.0,0.0,0.0,19.0,15.0,2.0,19.0,9.0,14.0,0.0
Christopher Bonsu-Baah,GHA,"FW,MF",Genk,19,28,20,1816,20.2,3,3,6,3,0,0,1,0,0.15,0.15,0.3,0.15,0.3,7.5,49.0,13.0,26.5,1.73,0.46,0.06,0.23,0.0,35.0,80.0,7.0,85.0,17.0,30.0,0.0
Jordy Bos,AUS,"DF,FW",Westerlo,21,18,12,1029,11.4,4,3,7,4,0,0,2,0,0.35,0.26,0.61,0.35,0.61,2.7,31.0,12.0,38.7,2.71,1.05,0.13,0.33,0.0,7.0,12.0,1.0,36.0,15.0,13.0,0.0
Sofiane Boufal,MAR,MF,Union SG,30,16,8,662,7.4,0,3,3,0,0,0,4,0,0.0,0.41,0.41,0.0,0.41,3.5,13.0,2.0,15.4,1.73,0.27,0.0,0.0,0.0,16.0,19.0,0.0,23.0,4.0,10.0,0.0
Amine Boukamir,MAR,MF,Charleroi,17,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0
Rosen Bozhinov,BUL,DF,Antwerp,19,7,1,115,1.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,100.0,0.57,0.57,0.0,0.0,1.0,6.0,1.0,0.0,0.0,5.0,2.0,0.0
Bilal Brahimi,ALG,"MF,FW",Sint-Truiden,24,21,16,1487,16.5,1,3,4,1,0,0,6,1,0.06,0.18,0.24,0.06,0.24,1.8,65.0,22.0,33.8,3.27,1.11,0.03,0.09,1.0,12.0,19.0,5.0,218.0,13.0,8.0,0.0
Archie Brown,ENG,DF,Gent,22,27,26,2283,25.4,1,3,4,1,0,0,6,0,0.04,0.12,0.16,0.04,0.16,7.0,25.0,9.0,36.0,0.85,0.31,0.04,0.11,0.0,32.0,25.0,3.0,105.0,28.0,29.0,0.0
Bruninho,BRA,"MF,FW",Cercle Brugge,21,11,4,419,4.7,1,1,2,1,0,0,0,0,0.21,0.21,0.43,0.21,0.43,1.5,10.0,2.0,20.0,1.74,0.35,0.1,0.5,0.0,2.0,10.0,0.0,16.0,1.0,7.0,0.0
Paris Brunner,GER,"FW,MF",Cercle Brugge,18,12,2,345,3.8,1,0,1,1,0,0,0,0,0.26,0.0,0.26,0.26,0.26,1.5,16.0,6.0,37.5,2.72,1.02,0.13,0.33,0.0,8.0,10.0,5.0,2.0,0.0,3.0,0.0
Massimo Bruno,BEL,MF,Kortrijk,30,18,6,581,6.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,17.0,5.0,29.4,2.62,0.77,0.0,0.0,0.0,8.0,7.0,0.0,29.0,1.0,9.0,0.0
Marko Bulat,CRO,"MF,FW",Standard Liège,22,23,16,1264,14.0,1,0,1,1,0,0,3,0,0.07,0.0,0.07,0.07,0.07,2.0,28.0,10.0,35.7,1.55,0.55,0.04,0.1,0.0,10.0,20.0,5.0,108.0,17.0,23.0,0.0
Christian Burgess,ENG,DF,Union SG,32,21,21,1890,21.0,0,2,2,0,0,0,8,0,0.0,0.1,0.1,0.0,0.1,2.2,11.0,3.0,27.3,0.37,0.1,0.09,0.33,0.0,28.0,9.0,0.0,2.0,25.0,29.0,0.0
Welat Cagro,BEL,MF,Beerschot,25,17,10,936,10.4,1,0,1,1,0,1,7,1,0.1,0.0,0.1,0.1,0.1,0.5,11.0,2.0,18.2,1.03,0.19,0.09,0.5,0.0,18.0,15.0,0.0,15.0,8.0,12.0,0.0
Alexandro Calut,BEL,"DF,MF",Standard Liège,21,8,2,193,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,5.0,4.0,0.0,9.0,8.0,5.0,0.0
Etienne Camara,FRA,MF,Charleroi,21,20,14,1075,11.9,0,1,1,0,0,0,5,0,0.0,0.08,0.08,0.0,0.08,1.8,9.0,2.0,22.2,0.54,0.12,0.0,0.0,0.0,24.0,6.0,1.0,5.0,17.0,25.0,0.0
Ilay Camara,SEN,DF,Standard Liège,21,26,24,2132,23.7,0,2,2,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08,4.0,30.0,9.0,30.0,1.09,0.33,0.0,0.0,0.0,31.0,45.0,9.0,107.0,21.0,28.0,0.0
Shandre Campbell,RSA,FW,Club Brugge,19,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,25.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Alessio Castro-Montes,BEL,"DF,FW",Union SG,27,15,12,1027,11.4,1,3,4,1,0,0,2,0,0.09,0.26,0.35,0.09,0.35,5.0,17.0,6.0,35.3,1.17,0.41,0.12,0.33,0.0,11.0,17.0,1.0,83.0,13.0,22.0,0.0
Tjaronn Chery,SUR,"MF,FW",Antwerp,36,29,29,2362,26.2,11,6,17,10,1,1,1,0,0.42,0.23,0.65,0.38,0.61,0.5,96.0,37.0,38.5,2.83,1.09,0.13,0.32,0.0,18.0,25.0,7.0,189.0,7.0,19.0,0.0
Antoine Colassin,BEL,"FW,MF",Beerschot,23,19,14,1208,13.4,2,4,6,2,0,0,4,1,0.15,0.3,0.45,0.15,0.45,0.75,45.0,12.0,26.7,2.49,0.66,0.09,0.33,0.0,20.0,27.0,0.0,23.0,15.0,14.0,0.0
Kobe Cools,BEL,DF,Dender,27,30,30,2636,29.3,0,1,1,0,0,0,4,0,0.0,0.03,0.03,0.0,0.03,0.8,14.0,5.0,35.7,0.39,0.14,0.0,0.0,0.0,33.0,6.0,1.0,3.0,72.0,25.0,1.0
Colin Coosemans,BEL,GK,Anderlecht,31,28,28,2520,28.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,100.0,0.03,0.03,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0,0.0
Jo Coppens,BEL,GK,Sint-Truiden,33,3,3,270,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kobe Corbanie,BEL,"DF,MF",Antwerp,19,21,12,1179,13.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.7,4.0,3.0,75.0,0.28,0.21,0.0,0.0,0.0,13.0,13.0,0.0,13.0,23.0,25.0,0.0
Ayrton Costa,ARG,DF,Antwerp,25,15,15,1212,13.5,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,3.2,11.0,2.0,18.2,0.82,0.15,0.0,0.0,0.0,32.0,17.0,1.0,14.0,29.0,30.0,0.0
Carlos Cuesta,COL,DF,Genk,25,10,7,611,6.8,1,0,1,1,0,0,3,0,0.15,0.0,0.15,0.15,0.15,7.0,5.0,2.0,40.0,0.74,0.29,0.2,0.5,0.0,7.0,1.0,0.0,0.0,5.0,11.0,0.0
Karol Czubak,POL,FW,Kortrijk,24,5,0,63,0.7,0,1,1,0,0,0,0,0,0.0,1.43,1.43,0.0,1.43,0.6,2.0,1.0,50.0,2.2,1.1,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0
Oday Dabbagh,PLE,FW,Charleroi,25,15,4,491,5.5,1,0,1,1,0,0,1,1,0.18,0.0,0.18,0.18,0.18,1.2,14.0,6.0,42.9,2.57,1.1,0.07,0.17,0.0,4.0,5.0,7.0,3.0,0.0,2.0,0.0
Colin Dagba,FRA,"DF,MF",Beerschot,25,19,18,1364,15.2,0,1,1,0,0,0,4,0,0.0,0.07,0.07,0.0,0.07,0.7,9.0,4.0,44.4,0.56,0.25,0.0,0.0,0.0,12.0,9.0,0.0,25.0,14.0,41.0,0.0
Jon Dagur Thorsteinsson,ISL,"MF,FW",OH Leuven,25,3,0,92,1.0,1,0,1,1,0,0,0,0,0.98,0.0,0.98,0.98,0.98,0.8,2.0,2.0,100.0,1.96,1.96,0.5,0.5,0.0,0.0,1.0,1.0,10.0,1.0,1.0,0.0
Jesper Daland,NOR,DF,Cercle Brugge,24,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0
Elyess Dao,MAR,"MF,FW",Anderlecht,17,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Gabriel David,NGA,"MF,FW",Antwerp,17,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Promise David,CAN,FW,Union SG,23,24,16,1377,15.3,11,4,15,7,4,4,6,0,0.72,0.26,0.98,0.46,0.72,11.0,60.0,36.0,60.0,2.78,1.67,0.23,0.39,0.0,46.0,18.0,25.0,22.0,6.0,9.0,0.0
Maxim De Cuyper,BEL,DF,Club Brugge,23,27,24,2209,24.5,2,4,6,1,1,1,3,0,0.08,0.16,0.24,0.04,0.2,16.0,40.0,12.0,30.0,1.17,0.35,0.03,0.08,0.0,27.0,33.0,1.0,246.0,22.0,48.0,0.0
Gilles De Meyer,BEL,DF,Gent,17,4,0,18,0.2,1,0,1,1,0,0,0,0,5.0,0.0,5.0,5.0,5.0,0.7,1.0,1.0,100.0,0.6,0.6,1.0,1.0,0.0,3.0,7.0,0.0,1.0,1.0,2.0,0.0
Dion De Neve,BEL,DF,Kortrijk,22,26,20,1835,20.4,2,3,5,2,0,0,0,0,0.1,0.15,0.25,0.1,0.25,0.9,21.0,7.0,33.3,0.98,0.33,0.1,0.29,0.0,8.0,1.0,2.0,124.0,15.0,27.0,0.0
Kamiel Van De Perre,BEL,MF,Union SG,20,14,3,438,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,4.0,50.0,0.7,0.35,0.0,0.0,0.0,30.0,24.0,0.0,9.0,21.0,42.0,0.0
Tibe De Vlieger,BEL,"FW,DF",Gent,18,3,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.0,4.0,0.0,6.0,3.0,2.0,0.0
Nils De Wilde,BEL,MF,Cercle Brugge,21,8,0,115,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,100.0,0.66,0.66,0.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,4.0,0.0
Ortwin De Wolf,BEL,GK,Mechelen,27,30,30,2700,30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0
Max Dean,ENG,FW,Gent,20,17,12,971,10.8,6,1,7,5,1,1,3,0,0.56,0.09,0.65,0.46,0.56,3.5,35.0,17.0,48.6,3.24,1.58,0.14,0.29,0.0,13.0,14.0,7.0,6.0,3.0,3.0,0.0
Theo Defourny,BEL,GK,Charleroi,32,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tristan Degreef,BEL,"FW,MF",Anderlecht,19,10,4,380,4.2,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,20.0,0.86,0.17,0.0,0.0,0.0,9.0,15.0,0.0,18.0,8.0,12.0,0.0
Brecht Dejaegere,BEL,"MF,DF",Kortrijk,33,22,16,1357,15.1,1,1,2,1,0,0,4,0,0.07,0.07,0.13,0.07,0.13,0.5,19.0,4.0,21.1,1.13,0.24,0.05,0.25,0.0,28.0,37.0,4.0,58.0,28.0,31.0,0.0
Maxime Delanghe,BEL,GK,Cercle Brugge,23,21,21,1881,20.9,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Martin Delavallee,BEL,GK,Charleroi,20,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
