Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Dani de Wit,NED,"MF,FW",Bochum,26,12.8,2,20,7,35.0,1.56,0.55,0.1,0.29,0,0
Maximilian Wittek,GER,"DF,MF",Bochum,28,30.1,0,41,7,17.1,1.36,0.23,0.0,0.0,0,0
Marius Wolf,GER,MF,Augsburg,29,23.8,1,12,2,16.7,0.5,0.08,0.08,0.5,0,0
Nick Woltemade,GER,"FW,MF",Stuttgart,22,18.0,12,49,26,53.1,2.72,1.44,0.2,0.38,2,3
Jeong Woo-yeong,KOR,"MF,FW",Union Berlin,24,14.0,3,25,6,24.0,1.78,0.43,0.12,0.5,0,0
Granit Xhaka,SUI,MF,Leverkusen,31,32.1,2,21,3,14.3,0.65,0.09,0.1,0.67,0,0
Erencan Yardimci,TUR,FW,Hoffenheim,22,3.5,0,5,1,20.0,1.44,0.29,0.0,0.0,0,0
Dan-Axel Zagadou,FRA,DF,Stuttgart,25,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
David Zec,SVN,DF,Holstein Kiel,24,17.1,2,11,5,45.5,0.64,0.29,0.18,0.4,0,0
Robin Zentner,GER,GK,Mainz 05,29,32.0,0,1,0,0.0,0.03,0.0,0.0,0.0,0,0
Cedric Zesiger,SUI,DF,Wolfsburg,26,19.4,0,12,3,25.0,0.62,0.15,0.0,0.0,0,0
Michael Zetterer,GER,GK,Werder Bremen,29,34.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Budu Zivzivadze,GEO,FW,Heidenheim,30,10.6,2,22,10,45.5,2.07,0.94,0.09,0.2,0,0
