Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
SГёren Tengstedt,DEN,MF,Go Ahead Eagles,24.0,4.7,0,12,1,8.3,2.56,0.21,0.0,0.0,0,0
Jordan Teze,NED,DF,PSV,24.0,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Ryan Thomas,NZL,MF,Zwolle,29.0,9.4,0,2,1,50.0,0.21,0.11,0.0,0.0,0,0
Guus Til,NED,MF,PSV,26.0,22.4,10,64,35,54.7,2.85,1.56,0.16,0.29,0,0
Malik Tillman,USA,"MF,FW",PSV,22.0,21.3,12,59,25,42.4,2.77,1.17,0.2,0.48,0,0
Quinten Timber,NED,MF,Feyenoord,23.0,15.5,6,37,16,43.2,2.39,1.04,0.11,0.25,2,2
MickaГ«l Tirpan,BEL,DF,Willem II,30.0,21.6,1,7,2,28.6,0.32,0.09,0.14,0.5,0,0
Jens Toornstra,NED,MF,Utrecht,35.0,14.8,1,25,8,32.0,1.69,0.54,0.04,0.13,0,0
Bertrand TraorГ©,BFA,FW,Ajax,28.0,19.1,6,64,21,32.8,3.35,1.1,0.09,0.29,0,0
Gernot Trauner,AUT,DF,Feyenoord,32.0,15.4,0,14,3,21.4,0.91,0.19,0.0,0.0,0,0
Jacob Trenskow,DEN,MF,Heerenveen,23.0,19.4,6,51,17,33.3,2.63,0.88,0.12,0.35,0,0
Luka TunjiД‡,CRO,MF,Fortuna Sittard,18.0,5.3,1,9,3,33.3,1.69,0.56,0.11,0.33,0,0
Fofin Turay,NED,FW,Groningen,20.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Calvin Twigt,NED,MF,Go Ahead Eagles,21.0,5.0,0,2,0,0.0,0.4,0.0,0.0,0.0,0,0
PrzemysЕ‚aw TytoЕ„,POL,GK,Twente,37.0,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Ayase Ueda,JPN,FW,Feyenoord,25.0,13.4,7,38,15,39.5,2.84,1.12,0.18,0.47,0,0
Lars Unnerstall,GER,GK,Twente,34.0,31.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Naci ГњnГјvar,NED,"MF,FW",Twente,21.0,4.3,0,17,2,11.8,3.92,0.46,0.0,0.0,0,0
Kyan Vaesen,BEL,FW,Willem II,23.0,21.1,4,29,13,44.8,1.38,0.62,0.07,0.15,2,2
Etienne Vaessen,SUR,GK,Groningen,29.0,32.0,0,1,0,0.0,0.03,0.0,0.0,0.0,0,0
Luciano Valente,NED,MF,Groningen,20.0,28.7,2,51,23,45.1,1.77,0.8,0.04,0.09,0,0
Cherrion Valerius,CUW,DF,NAC Breda,18.0,13.3,0,4,0,0.0,0.3,0.0,0.0,0.0,0,0
Dave Van Den Berg,NED,MF,Zwolle,24.0,24.8,4,48,13,27.1,1.94,0.53,0.08,0.31,0,0
Jan Van den Bergh,BEL,DF,NAC Breda,29.0,30.0,2,26,9,34.6,0.87,0.3,0.08,0.22,0,0
Dario Van den Buijs,BEL,DF,RKC Waalwijk,28.0,12.3,0,7,3,42.9,0.57,0.24,0.0,0.0,0,0
Alec Van Hoorenbeeck,BEL,DF,Twente,25.0,12.4,2,10,3,30.0,0.81,0.24,0.2,0.67,0,0
Per Van Loon,0,FW,Willem II,0.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Syb Van Ottele,NED,"DF,MF",Fortuna Sittard,22.0,20.8,0,19,3,15.8,0.91,0.14,0.0,0.0,0,0
Joey Veerman,NED,MF,PSV,25.0,20.3,1,31,15,48.4,1.52,0.74,0.03,0.07,0,0
Odysseus Velanas,NED,"MF,FW",Zwolle,26.0,15.2,1,28,7,25.0,1.85,0.46,0.04,0.14,0,0
Apostolos Vellios,GRE,FW,Zwolle,32.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Dylan Vente,NED,FW,Zwolle,25.0,28.0,13,46,21,45.7,1.64,0.75,0.22,0.48,3,3
Calvin Verdonk,IDN,DF,NEC Nijmegen,27.0,31.7,1,26,5,19.2,0.82,0.16,0.04,0.2,0,0
Valentino Vermeulen,NED,"DF,MF",Willem II,23.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Arno Verschueren,BEL,FW,Twente,27.0,22.4,1,53,11,20.75,2.37,0.49,0.02,0.09,0,0
Dion Versluis,NED,0,NAC Breda,21.0,0.2,0,1,0,0.0,5.0,0.0,0.0,0.0,0,0
Niklas Vesterlund,DEN,DF,Utrecht,25.0,7.1,1,4,2,50.0,0.57,0.28,0.25,0.5,0,0
Nick Viergever,NED,DF,Utrecht,34.0,32.8,3,14,7,50.0,0.43,0.21,0.21,0.43,0,0
Ricardo Visus,ESP,DF,Almere City,23.0,21.8,1,12,5,41.7,0.55,0.23,0.08,0.2,0,0
Michel Vlap,NED,MF,Twente,27.0,27.8,5,53,13,24.5,1.91,0.47,0.09,0.38,0,0
Patrick Vroegh,NED,MF,RKC Waalwijk,24.0,0.4,0,1,0,0.0,2.25,0.0,0.0,0.0,0,0
Wout Weghorst,NED,FW,Ajax,31.0,12.1,10,36,18,50.0,2.99,1.49,0.25,0.5,1,2
Daouda Weidmann,CIV,MF,RKC Waalwijk,21.0,8.8,0,7,0,0.0,0.8,0.0,0.0,0.0,0,0
Robbin Weijenberg,NED,"MF,DF",Go Ahead Eagles,19.0,3.4,0,3,0,0.0,0.87,0.0,0.0,0.0,0,0
Timon Wellenreuther,GER,GK,Feyenoord,28.0,29.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Jonas Wendlinger,AUT,GK,Almere City,24.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Jannes Wieckhoff,GER,DF,Heracles Almelo,23.0,13.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Owen Wijndal,NED,"DF,MF",Ajax,24.0,4.1,0,4,1,25.0,0.97,0.24,0.0,0.0,0,0
Jordy de Wijs,NED,DF,Heerenveen,29.0,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Mees de Wit,NED,"DF,FW",AZ Alkmaar,26.0,5.2,1,3,1,33.3,0.57,0.19,0.33,1.0,0,0
Ricky van Wolfswinkel,NED,"FW,MF",Twente,35.0,17.8,7,39,21,53.8,2.19,1.18,0.15,0.29,1,1
Luuk Wouters,NED,DF,RKC Waalwijk,25.0,9.2,0,1,0,0.0,0.11,0.0,0.0,0.0,0,0
Redouan El Yaakoubi,NED,DF,RKC Waalwijk,28.0,4.5,0,1,1,100.0,0.22,0.22,0.0,0.0,0,0
Marvin Young,NED,DF,Sparta Rotterdam,18.0,24.1,0,5,1,20.0,0.21,0.04,0.0,0.0,0,0
Vasilios Zagaritis,GRE,DF,Almere City,23.0,32.9,0,14,0,0.0,0.43,0.0,0.0,0.0,0,0
Jan ЕЅambЕЇrek,CZE,MF,Heracles Almelo,23.0,10.4,0,1,0,0.0,0.1,0.0,0.0,0.0,0,0
Oskar Zawada,POL,FW,RKC Waalwijk,28.0,21.6,9,61,30,49.2,2.82,1.39,0.15,0.3,0,0
Gjivai ZechiГ«l,NED,MF,Feyenoord,20.0,14.3,2,20,5,25.0,1.4,0.35,0.1,0.4,0,0
Lequincio Zeefuik,NED,FW,AZ Alkmaar,19.0,0.4,0,3,0,0.0,8.44,0.0,0.0,0.0,0,0
Ramiz Zerrouki,ALG,MF,Feyenoord,26.0,12.1,1,7,4,57.1,0.58,0.33,0.14,0.25,0,0
Jeroen Zoet,NED,GK,AZ Alkmaar,33.0,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
RГєnar ГћГіr Sigurgeirsson,ISL,"DF,MF",Willem II,24.0,21.4,1,17,2,11.8,0.79,0.09,0.06,0.5,0,0
NГ¶kkvi ГћГіrisson,ISL,"FW,MF",Sparta Rotterdam,24.0,1.5,2,7,3,42.9,4.63,1.99,0.29,0.67,0,0
Shiloh вЂ™t Zand,NED,MF,Feyenoord,21.0,11.7,1,25,13,52.0,2.14,1.11,0.04,0.08,0,0
