Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Carlos Forbs,POR,"FW,MF",Ajax,20.0,0.4,0,0,0,0,0,0,3,0,1,,,0
Ryan Fosso,SUI,MF,Fortuna Sittard,22.0,28.3,6,0,0,22,31,1,11,41,22,,,0
Oscar Fraulo,DEN,"MF,FW",Utrecht,20.0,19.0,3,0,0,35,26,2,18,25,19,,,0
Anton Gaaei,DEN,"DF,MF",Ajax,21.0,19.8,5,1,0,13,11,2,142,16,18,,,0
Matt Garbett,NZL,"MF,FW",NAC Breda,22.0,6.4,0,0,0,5,9,1,9,6,4,,,0
Anselmo GarcГ­a MacNulty,IRL,DF,Zwolle,21.0,34.0,2,0,0,32,17,1,12,41,19,,,0
Stijn van Gassel,NED,GK,NEC Nijmegen,27.0,2.0,0,0,0,0,1,0,0,0,0,,,0
Lutsharel Geertruida,NED,DF,Feyenoord,24.0,3.0,0,0,0,2,2,0,0,3,3,,,0
Liam van Gelderen,SUR,DF,RKC Waalwijk,23.0,30.0,4,0,0,21,17,0,12,55,41,,,0
Djomar Giersthove,NED,DF,Feyenoord,19.0,0.1,0,0,0,0,0,0,0,0,0,,,0
Teun Gijselhart,NED,MF,Zwolle,19.0,0.3,0,0,0,1,0,0,0,1,2,,,0
Santiago GimГ©nez,MEX,FW,Feyenoord,23.0,8.5,1,0,0,3,16,7,2,1,2,,,0
Mika Godts,BEL,FW,Ajax,19.0,18.3,2,0,0,14,27,8,24,4,14,,,0
Wouter Goes,NED,DF,AZ Alkmaar,20.0,22.8,8,1,0,21,34,2,2,28,14,,,0
Facundo GonzГЎlez,URU,DF,Feyenoord,21.0,0.9,0,0,0,0,0,0,0,1,1,,,0
Roberto GonzГЎlez,ESP,MF,NEC Nijmegen,23.0,10.9,1,0,0,13,27,0,40,4,9,,,0
Tristan Gooijer,NED,DF,Zwolle,19.0,0.3,0,0,0,0,0,0,0,0,0,,,0
Marvin da GraГ§a,LUX,DF,Almere City,29.0,8.8,1,0,0,7,9,0,12,13,14,,,0
Simon Graves Jensen,DEN,DF,Zwolle,25.0,25.7,1,0,0,24,15,1,3,22,14,,,0
Leo Greiml,AUT,DF,NAC Breda,23.0,28.7,11,2,1,52,21,1,9,45,43,,,0
Dario Grujcic,AUT,DF,Fortuna Sittard,25.0,3.1,1,0,0,3,1,0,3,3,10,,,0
Baptiste Guillaume,BEL,FW,Almere City,29.0,4.9,0,1,0,3,5,1,0,0,0,,,0
Eser GГјrbГјz,NED,"FW,MF",Heerenveen,17.0,3.4,0,0,0,3,6,2,20,0,3,,,0
Rodrigo Guth,BRA,DF,Fortuna Sittard,23.0,30.5,5,1,0,25,6,0,5,31,30,,,0
Jonathan de GuzmГЎn,NED,MF,Sparta Rotterdam,36.0,0.5,0,0,0,3,1,0,0,1,0,,,0
Anis Hadj Moussa,ALG,"MF,FW",Feyenoord,22.0,21.9,4,0,0,12,28,4,115,7,18,,,0
Alen HaliloviД‡,CRO,"MF,FW",Fortuna Sittard,28.0,19.7,2,0,0,8,24,0,75,8,13,,,0
Denzel Hall,NED,DF,Heerenveen,23.0,6.3,2,0,0,5,3,0,6,9,9,,,0
SГ©bastien Haller,CIV,FW,Utrecht,30.0,14.1,0,0,0,19,26,3,0,0,6,,,0
DГЎvid Hancko,SVK,DF,Feyenoord,26.0,32.0,5,0,0,13,21,3,20,25,25,,,0
Kornelius Hansen,NOR,"MF,FW",Almere City,23.0,21.0,0,0,0,8,24,4,44,5,7,,,0
Sontje Hansen,CUW,"MF,FW",NEC Nijmegen,22.0,20.8,3,0,0,15,27,3,39,11,10,,,0
Quilindschy Hartman,NED,DF,Feyenoord,22.0,7.2,0,0,0,6,3,0,15,6,7,,,0
Jorrel Hato,NED,DF,Ajax,18.0,28.8,5,0,0,24,11,2,15,25,37,,,0
Mike Hauptmeijer,NED,GK,Zwolle,27.0,4.0,0,0,0,0,0,0,0,0,0,,,0
