Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Felipe Carballo,URU,MF,GrГЄmio,27,5.3,3,0,0,10,2,0,2,3,9,,,0
TomГЎs Cardona,ARG,DF,Fortaleza,28,15.9,4,0,0,23,4,1,1,31,16,,,0
Edson Carioca,BRA,"MF,FW",Juventude,26,8.2,2,0,0,16,17,4,13,6,13,,,0
Carlinhos,BRA,FW,Flamengo,26,4.7,2,1,0,8,3,4,0,0,4,,,0
Antonio Carlos,BRA,DF,Fluminense,30,12.0,1,0,0,11,12,1,4,20,5,,,0
Jan Carlos Hurtado,VEN,FW,AtlГ©tico Goianiense,23,9.6,2,1,0,27,10,4,1,2,9,,,0
Jean Carlos,BRA,MF,AtlГ©tico Goianiense,18,0.4,0,0,0,0,1,0,1,2,0,,,0
JoГЈo Carlos,BRA,FW,CriciГєma,22,0.3,0,0,0,1,1,0,1,1,2,,,0
Jean Carlos Vicente,BRA,MF,Juventude,31,11.5,3,0,0,14,9,2,91,5,4,,,0
AndrГ© Carrillo,PER,MF,Corinthians,32,8.1,3,0,0,19,2,0,15,8,14,,,0
Ronie Carrillo,ECU,FW,Juventude,27,7.5,0,0,0,12,9,4,7,1,4,,,0
Gabriel Carvalho,BRA,MF,Internacional,16,14.5,3,0,0,26,16,1,49,6,18,,,0
CГЎssio,BRA,GK,Corinthians,36,24.0,2,0,0,0,4,0,0,1,1,,,0
Iury de Castilho,BRA,"FW,MF",VitГіria,28,1.4,1,0,0,7,9,1,1,0,0,,,0
Erick Castillo,ECU,FW,VitГіria,28,3.0,0,0,0,3,2,2,4,0,0,,,0
Ivan Cavaleiro,POR,FW,RB Bragantino,30,2.1,1,0,0,2,3,0,10,0,1,,,0
Murilo Cerqueira,BRA,DF,Palmeiras,26,24.2,7,1,1,34,5,1,7,24,24,,,0
Reynaldo Cesar Moraes,BRA,DF,VitГіria,27,4.0,1,0,0,6,0,0,1,0,7,,,0
Christian,BRA,MF,Athletico Paranaense,23,16.7,7,0,0,36,27,3,28,12,16,,,0
Eliel Chrystian,BRA,"FW,MF",CuiabГЎ,21,5.7,2,0,0,6,18,1,7,2,7,,,0
