Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Cenk Г–zkacar,TUR,DF,Valladolid,23,8.4,0,2,0,0.0,0.24,0.0,0.0,0.0,0,0
Jon Pacheco,ESP,DF,Real Sociedad,23,9.5,0,1,0,0.0,0.11,0.0,0.0,0.0,0,0
Alex Padilla,ESP,GK,Athletic Club,20,3.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Isaac PalazГіn Camacho,ESP,"MF,FW",Rayo Vallecano,29,24.0,4,61,18,29.5,2.54,0.75,0.07,0.22,0,0
Aitor Paredes,ESP,DF,Athletic Club,24,20.1,3,6,3,50.0,0.3,0.15,0.5,1.0,0,0
Daniel Parejo,ESP,MF,Villarreal,35,25.3,3,14,4,28.6,0.55,0.16,0.14,0.5,1,2
Iago Parente,ESP,DF,Valladolid,18,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
ГЃlvaro Pascual,ESP,FW,Sevilla,22,4.5,1,11,4,36.4,2.43,0.88,0.09,0.25,0,0
Alfonso Pedraza,ESP,"DF,MF",Villarreal,28,5.1,0,5,2,40.0,0.98,0.39,0.0,0.0,0,0
Pedri,ESP,MF,Barcelona,21,32.0,4,24,11,45.8,0.75,0.34,0.17,0.36,0,0
AdriГ Pedrosa,ESP,DF,Sevilla,26,25.5,1,24,8,33.3,0.94,0.31,0.04,0.13,0,0
PejiГ±o,ESP,MF,Las Palmas,28,0.2,0,1,0,0.0,5.63,0.0,0.0,0.0,0,0
Andy Pelmard,MAD,DF,Las Palmas,24,2.3,0,1,0,0.0,0.44,0.0,0.0,0.0,0,0
IГ±aki PeГ±a,ESP,GK,Barcelona,25,15.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
RubГ©n PeГ±a,ESP,"FW,DF",Osasuna,33,8.6,0,10,3,30.0,1.16,0.35,0.0,0.0,0,0
Nicolas PГ©pГ©,CIV,"FW,MF",Villarreal,29,16.7,3,39,17,43.6,2.34,1.02,0.08,0.18,0,0
Peque,ESP,"MF,FW",Sevilla,21,12.6,1,19,4,21.1,1.51,0.32,0.05,0.25,0,0
Ayoze PГ©rez,ESP,FW,Villarreal,31,21.9,19,75,31,41.3,3.43,1.42,0.25,0.61,0,0
Carles PГ©rez,ESP,MF,Getafe,26,15.9,3,34,9,26.5,2.14,0.57,0.09,0.33,0,0
Francisco Perez,ESP,MF,Valencia,21,6.3,0,6,1,16.7,0.95,0.16,0.0,0.0,0,0
