Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Woyo Coulibaly,MLI,DF,Parma,25,12.0,1,1,0,12,12,1,5,9,9,,,1
Bryan Cristante,ITA,MF,Roma,29,22.7,8,0,0,37,9,0,15,18,29,,,0
Domen ДЊrnigoj,SVN,MF,Venezia,28,1.5,0,0,0,2,4,0,2,4,2,,,0
Juan Cuadrado,COL,"MF,FW",Atalanta,36,9.2,3,0,0,9,27,0,56,7,9,,,0
Patrick Cutrone,ITA,FW,Como,26,22.7,1,0,0,23,28,20,30,5,9,,,0
Wylan Cyprien,FRA,MF,Parma,29,0.3,0,0,0,0,0,0,0,2,0,,,0
Danilo D'Ambrosio,ITA,DF,Monza,35,12.2,2,1,0,18,11,3,9,14,16,,,0
Lucas Da Cunha,FRA,MF,Como,23,29.0,4,0,0,21,29,1,101,16,26,,,0
Samuel Dahl,SWE,DF,Roma,24,0.5,0,0,0,2,0,0,1,0,2,,,0
Thijs Dallinga,NED,FW,Bologna,23,12.8,1,0,0,24,17,8,2,1,6,,,0
Maat Daniel Caprini,ITA,FW,Fiorentina,18,0.1,0,0,0,0,0,1,0,0,0,,,0
Flavius Daniliuc,AUT,DF,Hellas Verona,23,11.2,0,0,0,12,2,0,6,6,20,,,0
Danilo,BRA,DF,Juventus,33,6.5,2,0,0,11,1,0,3,9,4,,,0
Matteo Darmian,ITA,"MF,DF",Inter,34,19.8,3,0,0,26,19,5,32,10,20,,,1
Juan David Cabal,COL,DF,Juventus,23,5.1,0,0,0,7,10,1,7,2,4,,,0
Keinan Davis,ENG,FW,Udinese,26,11.8,2,0,0,24,12,8,3,1,5,,,0
PaweЕ‚ Dawidowicz,POL,"DF,MF",Hellas Verona,29,20.5,7,1,0,36,11,0,0,21,22,,,0
Charles De Ketelaere,BEL,"MF,FW",Atalanta,23,23.0,1,0,0,22,39,2,54,3,9,,,0
Mattia De Sciglio,ITA,DF,Empoli,31,8.5,0,0,0,8,5,0,7,10,13,,,0
Lorenzo De Silvestri,ITA,DF,Bologna,36,11.8,1,0,0,17,8,1,23,9,6,,,0
Koni De Winter,BEL,DF,Genoa,22,23.7,6,0,0,43,13,1,3,27,19,,,0
Alessandro Deiola,ITA,MF,Cagliari,28,15.9,6,0,0,32,11,0,14,13,20,,,0
Enrico Del Prato,ITA,"DF,MF",Parma,24,32.7,8,0,0,20,17,0,16,17,17,,,0
Fisayo Dele-Bashiru,NGA,MF,Lazio,23,10.5,0,0,0,8,4,0,7,3,7,,,0
Ali DembГ©lГ©,FRA,DF,Torino,20,4.3,4,1,1,9,7,0,7,1,5,,,0
Michele Di Gregorio,ITA,GK,Juventus,27,33.0,0,0,0,0,7,0,0,1,0,,,0
Giovanni Di Lorenzo,ITA,DF,Napoli,30,37.0,6,0,0,46,52,5,63,31,43,,,0
Boulaye Dia,SEN,"MF,FW",Lazio,27,24.2,2,0,0,23,24,3,2,7,10,,,0
Assane Diao,SEN,"MF,FW",Como,18,13.9,2,0,0,20,49,6,12,2,14,,,0
Federico Dimarco,ITA,MF,Inter,26,24.2,3,0,0,19,11,8,192,14,15,,,0
Berat Djimsiti,ALB,DF,Atalanta,31,29.3,6,0,0,23,21,0,11,41,34,,,1
DodГґ,BRA,"DF,MF",Fiorentina,25,34.6,8,0,0,23,62,3,143,36,29,,,0
BenjamГ­n DomГ­nguez,ARG,MF,Bologna,20,14.2,0,0,0,10,31,4,11,4,8,,,0
Patrick Dorgu,DEN,"MF,DF",Lecce,19,20.4,2,1,0,24,55,4,40,18,29,,,1
Alberto Dossena,ITA,DF,Como,25,20.3,1,1,0,22,16,0,1,22,20,,,0
Issa Doumbia,ITA,MF,Venezia,20,10.4,0,0,0,18,12,0,10,9,8,,,0
Anastasios Douvikas,GRE,FW,Como,24,6.4,1,0,0,13,17,1,2,1,2,,,0
