Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Pepe Reina,ESP,GK,Como,41,11.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Devyne Rensch,NED,"MF,DF",Roma,21,5.2,0,3,2,66.7,0.58,0.38,0.0,0.0,0,0
Mateo Retegui,ITA,FW,Atalanta,25,26.5,25,104,38,36.5,3.93,1.44,0.2,0.55,4,5
Samuele Ricci,ITA,MF,Torino,22,31.4,1,22,7,31.8,0.7,0.22,0.05,0.14,0,0
Amir Richardson,MAR,MF,Fiorentina,22,12.2,1,11,5,45.5,0.9,0.41,0.09,0.2,0,0
Sergi Roberto,ESP,MF,Como,32,7.7,0,6,1,16.7,0.78,0.13,0.0,0.0,0,0
Alessio Romagnoli,ITA,DF,Lazio,29,29.7,2,20,8,40.0,0.67,0.27,0.1,0.25,0,0
Marten de Roon,NED,"MF,DF",Atalanta,33,34.0,4,14,4,28.6,0.41,0.12,0.29,1.0,0,0
Jonas Rouhi,SWE,DF,Juventus,20,2.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
NicolГІ Rovella,ITA,MF,Lazio,22,30.2,0,28,8,28.6,0.93,0.26,0.0,0.0,0,0
Amir Rrahmani,KVX,DF,Napoli,30,37.8,1,28,4,14.3,0.74,0.11,0.04,0.25,0,0
Tommaso Rubino,ITA,FW,Fiorentina,17,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Matteo Ruggeri,ITA,"MF,DF",Atalanta,22,19.5,0,3,2,66.7,0.15,0.1,0.0,0.0,0,0
Stefano Sabelli,ITA,"DF,MF",Genoa,31,22.9,0,6,1,16.7,0.26,0.04,0.0,0.0,0,0
Alexis Saelemaekers,BEL,DF,Milan,25,16.4,7,25,12,48.0,1.52,0.73,0.28,0.58,0,0
Richie Sagrado,BEL,"MF,DF",Venezia,20,1.6,0,1,0,0.0,0.64,0.0,0.0,0.0,0,0
Marco Sala,ITA,"DF,MF",Lecce,25,3.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Anass Salah-Eddine,MAR,MF,Roma,22,1.7,0,2,1,50.0,1.18,0.59,0.0,0.0,0,0
Lazar Samardzic,SRB,MF,Atalanta,22,13.0,2,33,13,39.4,2.54,1.0,0.06,0.15,0,0
Junior Sambia,FRA,MF,Empoli,27,4.3,0,10,1,10.0,2.33,0.23,0.0,0.0,0,0
Antonio Sanabria,PAR,FW,Torino,28,14.6,2,19,4,21.1,1.3,0.27,0.11,0.5,0,1
Alexis SГЎnchez,CHI,FW,Udinese,35,4.9,0,7,0,0.0,1.44,0.0,0.0,0.0,0,0
Nicola Sansone,ITA,"FW,MF",Lecce,32,0.7,0,3,1,33.3,4.15,1.38,0.0,0.0,0,0
Amin Sarr,SWE,FW,Hellas Verona,23,21.2,4,23,7,30.4,1.09,0.33,0.17,0.57,0,0
Razvan Sava,ROU,GK,Udinese,22,12.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
NicolГІ Savona,ITA,DF,Juventus,21,19.2,2,6,4,66.7,0.31,0.21,0.33,0.5,0,0
Saba Sazonov,GEO,DF,Torino,22,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Giorgio Scalvini,ITA,DF,Atalanta,20,3.0,0,4,0,0.0,1.32,0.0,0.0,0.0,0,0
Gianluca Scamacca,ITA,FW,Atalanta,25,0.1,0,1,1,100.0,15.0,15.0,0.0,0.0,0,0
JoГ«l Schingtienne,BEL,DF,Venezia,21,12.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Simone Scuffet,ITA,GK,Napoli,28,14.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Jacopo Seghetti,ITA,GK,Empoli,19,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Stefano Sensi,ITA,MF,Monza,28,3.0,1,7,2,28.6,2.3,0.66,0.0,0.0,1,1
Suat Serdar,GER,MF,Hellas Verona,27,15.3,2,30,8,26.7,1.96,0.52,0.07,0.25,0,0
Stephan El Shaarawy,ITA,"MF,FW",Roma,31,12.2,3,28,12,42.9,2.3,0.98,0.11,0.25,0,0
Alen Sherri,ALB,GK,Cagliari,26,6.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Eldor Shomurodov,UZB,FW,Roma,29,12.2,4,29,14,48.3,2.38,1.15,0.14,0.29,0,0
Benjamin Siegrist,SUI,GK,Genoa,32,1.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Marco Silvestri,ITA,GK,Empoli,33,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Giovanni Simeone,ARG,FW,Napoli,29,4.7,1,13,3,23.1,2.79,0.64,0.08,0.33,0,0
ЕЃukasz Skorupski,POL,GK,Bologna,33,26.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Ivan SmolДЌiД‡,CRO,DF,Como,23,7.0,0,7,3,42.9,1.0,0.43,0.0,0.0,0,0
Simon Sohm,SUI,MF,Parma,23,33.2,4,34,13,38.2,1.02,0.39,0.12,0.31,0,0
Ola Solbakken,NOR,"MF,FW",Empoli,25,8.4,0,4,3,75.0,0.47,0.36,0.0,0.0,0,0
Oumar Solet,FRA,DF,Udinese,24,18.6,1,12,7,58.3,0.65,0.38,0.08,0.14,0,0
Daniele Sommariva,ITA,GK,Genoa,27,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Yann Sommer,SUI,GK,Inter,35,33.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Borna Sosa,CRO,"MF,DF",Torino,26,13.1,0,4,1,25.0,0.3,0.08,0.0,0.0,0,0
Riccardo Sottil,ITA,MF,Milan,25,10.700000000000001,1,24,6,25.0,2.24,0.56,0.04,0.17,0,0
MatГ¬as SoulГ©,ARG,MF,Roma,21,19.8,5,42,14,33.3,2.12,0.71,0.12,0.36,0,0
Leonardo Spinazzola,ITA,"DF,MF",Napoli,31,16.9,1,13,4,30.8,0.77,0.24,0.08,0.25,0,0
Marco Sportiello,ITA,GK,Milan,32,1.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Filip Stankovic,SRB,GK,Venezia,22,15.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Petar StojanoviД‡,SVN,"DF,MF",Empoli,28,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Gabriel Strefezza,BRA,"MF,FW",Como,27,29.1,6,57,22,38.6,1.96,0.76,0.11,0.27,0,0
Ibrahim Sulemana,GHA,MF,Atalanta,21,3.1,2,5,2,40.0,1.59,0.64,0.4,1.0,0,0
TomГЎЕЎ Suslov,SVK,"MF,FW",Hellas Verona,22,23.1,0,32,7,21.9,1.38,0.3,0.0,0.0,0,0
Zion Suzuki,JPN,GK,Parma,21,36.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Marin Е verko,CRO,DF,Venezia,26,12.4,1,3,1,33.3,0.24,0.08,0.33,1.0,0,0
Mile Svilar,SRB,GK,Roma,24,38.0,0,1,0,0.0,0.03,0.0,0.0,0.0,0,0
Michael Svoboda,AUT,DF,Venezia,25,14.6,1,4,4,100.0,0.27,0.27,0.25,0.25,0,0
Adrien Tameze,CMR,"MF,DF",Torino,30,7.2,0,7,3,42.9,0.97,0.42,0.0,0.0,0,0
Mehdi Taremi,IRN,FW,Inter,32,9.1,1,14,7,50.0,1.54,0.77,0.0,0.0,1,1
Nuno Tavares,POR,DF,Lazio,24,18.7,0,28,5,17.9,1.49,0.27,0.0,0.0,0,0
Loum Tchaouna,FRA,"MF,FW",Lazio,20,7.3,1,23,8,34.8,3.14,1.09,0.04,0.13,0,0
Jackson Tchatchoua,CMR,"MF,DF",Hellas Verona,22,35.2,2,18,3,16.7,0.51,0.09,0.11,0.67,0,0
Casper Tengstedt,DEN,FW,Hellas Verona,24,16.9,6,38,11,28.9,2.25,0.65,0.13,0.45,1,1
Filippo Terracciano,ITA,"DF,MF",Milan,21,6.0,0,3,1,33.3,0.5,0.17,0.0,0.0,0,0
Pietro Terracciano,ITA,GK,Fiorentina,34,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Florian Thauvin,FRA,"FW,MF",Udinese,31,21.7,8,54,27,50.0,2.48,1.24,0.13,0.26,1,3
Malick Thiaw,GER,DF,Milan,22,20.1,0,7,1,14.3,0.35,0.05,0.0,0.0,0,0
Morten Thorsby,NOR,MF,Genoa,28,21.1,0,15,7,46.7,0.71,0.33,0.0,0.0,0,0
KhГ©phren Thuram,FRA,MF,Juventus,23,25.8,4,36,11,30.6,1.39,0.43,0.11,0.36,0,0
Marcus Thuram,FRA,FW,Inter,26,25.4,14,65,27,41.5,2.55,1.06,0.22,0.52,0,0
Rafael TolГіi,ITA,DF,Atalanta,33,5.2,0,3,0,0.0,0.58,0.0,0.0,0.0,0,0
Fikayo Tomori,ENG,DF,Milan,26,17.7,0,2,0,0.0,0.11,0.0,0.0,0.0,0,0
Luka TopaloviД‡,SVN,MF,Inter,18,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Lorenzo Tosto,ITA,DF,Empoli,18,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Souleymane TourГ©,FRA,DF,Udinese,21,8.1,1,4,2,50.0,0.49,0.25,0.25,0.5,0,0
Stefano Turati,ITA,GK,Monza,22,29.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Kacper Urbanski,POL,MF,Monza,19,8.3,1,9,2,22.22,1.08,0.24,0.11,0.5,0,0
Lautaro Valenti,ARG,DF,Parma,25,17.3,1,7,2,28.6,0.4,0.12,0.14,0.5,0,0
NicolГЎs Valentini,ARG,DF,Hellas Verona,23,12.5,0,8,0,0.0,0.64,0.0,0.0,0.0,0,0
Emanuele Valeri,ITA,"DF,MF",Parma,25,31.9,2,27,5,18.5,0.85,0.16,0.04,0.2,1,1
ГЃlex Valle,ESP,DF,Como,20,11.4,0,9,1,11.1,0.79,0.09,0.0,0.0,0,0
Mattia Valoti,ITA,"FW,MF",Monza,30,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Ignace Van Der Brempt,BEL,DF,Como,22,14.0,0,7,3,42.9,0.5,0.21,0.0,0.0,0,0
Devis VГЎsquez,COL,GK,Empoli,26,32.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Johan VГЎsquez,MEX,DF,Genoa,25,33.8,3,36,8,22.2,1.07,0.24,0.08,0.38,0,0
MatГ­as Vecino,URU,MF,Lazio,32,9.7,2,16,5,31.3,1.64,0.51,0.13,0.4,0,0
Danilo Veiga,POR,"MF,DF",Lecce,21,4.2,0,5,0,0.0,1.2,0.0,0.0,0.0,0,0
Renato Veiga,POR,DF,Juventus,21,12.1,0,12,5,41.7,0.99,0.41,0.0,0.0,0,0
Lorenzo Venturino,ITA,MF,Genoa,18,1.9,2,4,3,75.0,2.16,1.62,0.5,0.67,0,0
Simone Verdi,ITA,"FW,MF",Como,32,1.3,0,2,2,100.0,1.57,1.57,0.0,0.0,0,0
Samuele Vignato,ITA,MF,Monza,20,5.2,0,4,1,25.0,0.77,0.19,0.0,0.0,0,0
Nicolas Viola,ITA,"MF,FW",Cagliari,34,14.1,3,31,9,29.0,2.2,0.64,0.1,0.33,0,0
Mattia Viti,ITA,DF,Empoli,22,28.6,1,11,2,18.2,0.38,0.07,0.09,0.5,0,0
Vitinha,POR,"FW,MF",Genoa,24,14.8,2,33,6,18.2,2.24,0.41,0.06,0.33,0,0
DuЕЎan VlahoviД‡,SRB,FW,Juventus,24,19.8,10,77,30,39.0,3.88,1.51,0.08,0.2,4,4
Vanja VlahoviД‡,SRB,MF,Atalanta,20,0.7,0,1,1,100.0,1.5,1.5,0.0,0.0,0,0
Nikola VlaЕЎiД‡,CRO,"MF,FW",Torino,26,23.5,5,32,12,37.5,1.36,0.51,0.09,0.25,2,2
Alessandro Vogliacco,ITA,DF,Parma,25,16.5,2,6,3,50.0,0.36,0.18,0.33,0.67,0,0
MГ«rgim Vojvoda,KVX,DF,Como,29,20.3,1,9,1,11.11,0.44,0.05,0.11,1.0,0,0
Stefan de Vrij,NED,DF,Inter,32,19.2,3,13,3,23.1,0.68,0.16,0.23,1.0,0,0
Kyle Walker,ENG,DF,Milan,34,7.3,0,2,0,0.0,0.27,0.0,0.0,0.0,0,0
