Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
JosГ© CampaГ±a,ESP,MF,Las Palmas,31,13.2,5,0,0,7,20,0,34,20,15,,,0
Peio Canales,ESP,MF,Athletic Club,19,2.9,0,0,0,1,2,1,16,1,2,,,0
Antonio Candela,ITA,DF,Valladolid,24,10.1,1,0,0,5,7,2,20,6,6,,,0
Sergi CanГіs,ESP,MF,Valencia,27,4.1,3,0,0,12,6,1,18,7,7,,,0
Dani CГЎrdenas,ESP,GK,Rayo Vallecano,27,6.0,0,0,0,0,1,0,0,0,0,,,0
Irvin Cardona,MLT,"FW,MF",Espanyol,26,6.7,1,0,0,8,8,5,13,5,6,,,0
Marc Cardona,ESP,FW,Las Palmas,29,1.5,2,0,0,2,3,0,1,0,2,,,0
Sergi Cardona,ESP,DF,Villarreal,25,32.7,11,0,0,38,28,3,112,41,49,,,0
Johnny Cardoso,USA,MF,Real Betis,22,23.8,4,0,0,38,27,0,3,50,31,,,0
JosГ© Carlos GonzГЎlez,ESP,MF,Las Palmas,18,0.1,0,0,0,0,0,0,0,0,0,,,0
Carmona,ESP,DF,Sevilla,22,32.7,11,0,0,49,44,1,43,68,59,,,0
Sergio Carreira,ESP,MF,Celta Vigo,23,18.4,1,0,0,19,7,4,42,17,17,,,0
Dani Carvajal,ESP,DF,Real Madrid,32,6.8,1,0,0,3,6,0,14,10,8,,,0
William Carvalho,POR,MF,Real Betis,32,5.4,1,0,0,7,3,0,2,3,7,,,0
Marc Casado,ESP,MF,Barcelona,20,17.9,4,1,1,26,36,0,9,24,24,,,0
Catena,ESP,DF,Osasuna,29,34.2,11,0,0,36,14,1,2,31,28,,,0
Maximiliano Caufriez,BEL,DF,Valencia,27,1.0,0,0,0,3,0,0,0,1,1,,,0
Dani Ceballos,ESP,MF,Real Madrid,27,13.5,4,0,0,13,30,0,14,16,21,,,0
Franco Cervi,ARG,"MF,FW",Celta Vigo,30,3.0,1,0,0,4,1,0,6,8,3,,,0
RaГєl Chasco,ESP,DF,Valladolid,20,1.4,0,0,0,3,0,0,3,2,1,,,0
Pep ChavarrГ­a,ESP,DF,Rayo Vallecano,26,28.7,3,0,0,30,25,3,80,30,36,,,0
Walid Cheddira,MAR,FW,Espanyol,26,7.1,3,0,0,30,27,11,2,1,0,,,0
Chema,ESP,MF,Real Madrid,19,0.1,0,0,0,1,0,0,0,0,0,,,0
JuliГЎn Chicco,ARG,"MF,DF",LeganГ©s,26,3.4,0,0,0,1,3,0,3,4,7,,,0
Chiquinho,POR,MF,Mallorca,24,1.6,2,0,0,6,7,0,9,1,0,,,0
Andreas Christensen,DEN,DF,Barcelona,28,2.8,3,0,0,5,0,0,0,4,3,,,0
Jasper Cillessen,NED,GK,Las Palmas,35,25.9,1,0,0,0,5,0,0,0,0,,,0
PathГ© Ciss,SEN,"MF,DF",Rayo Vallecano,30,23.8,12,0,0,45,25,0,5,36,25,,,0
Seydouba CissГ©,GUI,MF,LeganГ©s,23,27.1,3,1,0,39,25,2,10,14,36,,,0
Silvi ClГєa,ESP,MF,Girona,19,1.8,0,0,0,5,0,0,0,2,6,,,0
Eray CГ¶mert,SUI,"DF,MF",Valladolid,26,19.8,6,0,0,18,16,0,0,22,16,,,0
Santi ComesaГ±a,ESP,MF,Villarreal,27,28.4,7,0,0,37,27,1,15,21,49,,,0
Diego Conde,ESP,GK,Villarreal,25,21.8,2,0,0,0,1,0,0,1,2,,,0
TomГЎs Conechny,ARG,"MF,FW",AlavГ©s,26,9.4,8,0,0,28,11,5,31,6,11,,,0
Copete,ESP,DF,Mallorca,24,17.0,6,0,0,27,13,0,7,18,18,,,0
Iker CГіrdoba,ESP,DF,Valencia,18,0.2,0,0,0,0,0,0,1,0,0,,,0
ГЃngel Correa,ARG,FW,AtlГ©tico Madrid,29,8.9,3,1,0,18,11,4,24,5,3,,,0
Thierry Correia,POR,DF,Valencia,25,8.5,1,0,0,15,14,0,18,3,17,,,0
Coba da Costa,ESP,MF,Getafe,22,11.2,4,0,0,10,10,0,41,10,13,,,0
Logan Costa,CPV,DF,Villarreal,23,28.7,3,0,0,19,3,2,5,23,21,,,0
Samu Costa,POR,MF,Mallorca,23,29.4,10,1,1,62,63,2,21,32,42,,,0
Thibaut Courtois,BEL,GK,Real Madrid,32,30.0,1,0,0,0,2,0,0,1,0,,,1
Juan Cruz Armada,ESP,DF,Osasuna,32,16.6,4,0,0,16,2,2,10,9,15,,,0
Juan Cruz,ESP,"MF,DF",LeganГ©s,24,25.1,2,0,0,14,23,7,91,13,16,,,0
Pau CubarsГ­,ESP,DF,Barcelona,17,29.1,3,0,0,24,9,0,2,18,24,,,0
Cucho,COL,FW,Real Betis,25,12.7,0,0,0,10,9,5,12,7,10,,,0
Arnaut Danjuma,NED,"MF,FW",Girona,27,17.0,3,0,0,18,17,17,76,3,7,,,0
Sergi Darder,ESP,MF,Mallorca,30,30.5,4,0,0,21,37,3,159,15,26,,,0
Rodrigo De Paul,ARG,MF,AtlГ©tico Madrid,30,23.4,7,0,0,19,49,0,57,6,24,,,0
Mouctar Diakhaby,GUI,DF,Valencia,27,7.3,0,0,0,2,4,0,1,10,4,,,0
Assane Diao,SEN,FW,Real Betis,18,3.1,0,0,0,4,4,2,4,0,3,,,0
Moussa Diarra,MLI,DF,AlavГ©s,23,20.7,6,0,0,28,24,1,20,17,23,,,0
Brahim DГ­az,MAR,"MF,FW",Real Madrid,24,15.4,0,0,0,14,34,1,8,5,18,,,0
Daniel DГ­az,ESP,FW,Real Sociedad,18,0.1,0,0,0,1,0,0,0,0,1,,,0
Pedro DГ­az,ESP,MF,Rayo Vallecano,26,13.5,2,0,0,7,6,0,41,7,15,,,0
Diego,ESP,"FW,MF",LeganГ©s,24,13.3,2,0,0,22,23,7,5,3,1,,,0
Stole Dimitrievski,MKD,GK,Valencia,30,4.0,1,0,0,0,0,0,0,0,0,,,0
Yan DiomandГ©,CIV,MF,LeganГ©s,17,6.1,1,0,0,8,16,2,12,8,9,,,0
ГЃlvaro djalГі,GNB,"MF,FW",Athletic Club,24,7.3,2,0,0,18,14,5,14,2,5,,,0
DjenГ©,TOG,"DF,MF",Getafe,32,28.3,10,1,0,40,26,1,32,21,13,,,0
Marko DmitroviД‡,SRB,GK,LeganГ©s,32,32.0,0,0,0,1,6,0,0,0,1,,,0
Marc Domenech,ESP,"FW,MF",Mallorca,18,3.4,0,0,0,5,1,0,4,0,4,,,0
Carlos Dominguez,ESP,DF,Celta Vigo,23,13.1,1,0,0,8,10,0,0,12,12,,,1
Israel DomГ­nguez,ESP,MF,Sevilla,21,0.2,0,0,0,0,1,1,0,0,0,,,0
Sergi Dominguez,ESP,DF,Barcelona,19,1.9,1,0,0,2,0,0,0,4,1,,,0
Anastasios Douvikas,GRE,FW,Celta Vigo,24,7.8,2,0,0,10,27,9,1,3,4,,,0
Domingos Duarte,POR,DF,Getafe,29,20.7,4,2,1,24,13,0,0,17,15,,,0
Duk,CPV,MF,LeganГ©s,24,2.0,1,0,0,5,13,0,8,1,4,,,0
Pablo DurГЎn,ESP,"FW,MF",Celta Vigo,23,15.5,3,0,0,31,19,7,18,7,8,,,0
Hugo Duro,ESP,FW,Valencia,24,24.1,5,0,0,38,50,7,7,9,9,,,1
Chidera Ejuke,NGA,"MF,FW",Sevilla,26,10.7,0,0,0,6,16,4,22,6,12,,,0
Aritz Elustondo,ESP,DF,Real Sociedad,30,16.2,2,1,0,25,18,1,4,12,11,,,0
Adri Embarba,ESP,"MF,FW",Rayo Vallecano,32,17.9,4,0,0,25,21,14,114,14,21,,,0
