Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKsv%,Value,league
Gregoire Coudert,FRA,GK,Brest,25,2,2,180,2.0,5,2.5,14,9,64.3,1,0,1,0,0.0,0,0,0,0,0.0,0.5,FR1
Theo De Percin,MTQ,GK,Auxerre,23,2,2,180,2.0,3,1.5,6,5,66.7,0,1,1,1,50.0,2,1,1,0,50.0,0.3,FR1
Remy Descamps,FRA,GK,Lyon,28,1,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,0.0,1.2,FR1
Arthur Desmas,FRA,GK,Le Havre,30,18,18,1620,18.0,38,2.11,91,56,60.4,5,0,13,3,16.7,3,2,1,0,33.3,1.2,FR1
Yehvann Diouf,SEN,GK,Reims,24,34,34,3060,34.0,47,1.38,176,133,75.6,8,9,17,7,20.6,5,4,1,0,20.0,12.0,FR1
Alex Dominguez,ESP,GK,Toulouse,26,1,0,19,0.2,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0,0.3,FR1
Gianluigi Donnarumma,ITA,GK,Paris Saint-Germain,25,24,24,2091,23.2,25,1.08,75,50,68.0,18,5,1,4,16.7,1,1,0,0,0.0,40.0,FR1
Yahia Fofana,CIV,GK,Angers,23,33,33,2970,33.0,51,1.55,184,136,73.9,10,6,17,7,21.2,4,3,0,1,0.0,7.0,FR1
Gauthier Gallon,FRA,GK,Rennes,31,1,0,45,0.5,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.8,FR1
Mathieu Gorgelin,FRA,GK,Le Havre,33,16,16,1440,16.0,33,2.06,80,50,62.5,5,4,7,1,6.3,3,3,0,0,0.0,0.3,FR1
Kjetil Haug,NOR,GK,Toulouse,26,6,5,498,5.5,7,1.27,16,9,56.3,2,2,1,1,20.0,0,0,0,0,0.0,0.6,FR1
Karl-Johan Johnsson,SWE,GK,Strasbourg,34,3,3,270,3.0,6,2.0,21,16,76.2,1,1,1,0,0.0,1,1,0,0,0.0,0.3,FR1
Herve Koffi,BFA,GK,Lens,27,5,5,450,5.0,8,1.6,24,18,75.0,1,0,4,0,0.0,2,2,0,0,0.0,1.2,FR1
Philipp Kohn,SUI,GK,Monaco,26,19,19,1710,19.0,19,1.0,64,45,71.9,11,5,3,8,42.1,1,1,0,0,0.0,5.0,FR1
Alban Lafont,CIV,GK,Nantes,25,12,12,1080,12.0,19,1.58,48,32,66.7,2,4,6,2,16.7,3,3,0,0,0.0,3.0,FR1
Gautier Larsonneur,FRA,GK,Saint-Étienne,27,34,34,3060,34.0,77,2.26,195,133,67.2,8,6,20,5,14.7,15,13,2,0,13.3,3.0,FR1
Benjamin Lecomte,FRA,GK,Montpellier,33,30,30,2700,30.0,68,2.27,169,108,63.3,3,4,23,1,3.3,7,6,1,0,14.3,1.5,FR1
Donovan Leon,GUF,GK,Auxerre,31,32,32,2880,32.0,48,1.5,163,121,73.6,11,8,13,9,28.1,6,5,1,0,16.7,1.0,FR1
Anthony Lopes,POR,GK,Nantes,33,18,18,1563,17.4,26,1.5,69,47,68.1,5,6,7,3,16.7,5,4,0,1,0.0,1.2,FR1
Radoslaw Majecki,POL,GK,Monaco,24,15,15,1350,15.0,22,1.47,63,43,68.3,7,2,6,3,20.0,2,2,0,0,0.0,6.0,FR1
Steve Mandanda,FRA,GK,Rennes,39,18,17,1486,16.5,24,1.45,50,29,56.0,6,2,9,6,35.3,3,2,1,0,33.3,0.5,FR1
Lucas Perri,BRA,GK,Lyon,26,33,33,2970,33.0,44,1.33,157,116,73.9,17,6,10,10,30.3,3,3,0,0,0.0,10.0,FR1
Djordje Petrovic,SRB,GK,Strasbourg,24,31,31,2790,31.0,38,1.23,140,110,77.9,15,8,8,10,32.3,8,7,1,0,12.5,20.0,FR1
Guillaume Restes,FRA,GK,Toulouse,19,29,29,2543,28.3,36,1.27,92,58,62.0,9,7,13,9,31.0,2,1,1,0,50.0,20.0,FR1
