Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Ramy Bensebaini,ALG,DF,Dortmund,29,31,23,2022,22.5,1,6,7,1,0,0,6,0,1.3,1.3,3.2,4.5,26,128,58,0.04,0.27,0.31,0.04,0.31,0.06,0.14,0.2,0.06,0.2,7.0,0,28,24,0,35,27,27,0,20,2,10.0,0.89,0.09,0.05,0.5
Mergim Berisha,GER,FW,Augsburg,26,13,3,373,4.1000000000000005,1,1,2,1,0,0,2,0,1.2,1.2,1.0,2.2,4,7,26,0.24,0.24,0.49,0.24,0.49,0.29,0.24,0.54,0.29,0.54,3.5,0,7,5,3,4,0,2,0,14,4,28.57,3.41,0.98,0.07,0.25
Bernardo,BRA,DF,Bochum,29,21,19,1782,19.8,0,0,0,0,0,0,5,0,0.7,0.7,0.7,1.4,14,100,14,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.07,0.04,0.07,5.5,0,24,11,0,15,26,26,0,8,2,25.0,0.4,0.1,0.0,0.0
Alexander Bernhardsson,SWE,"FW,MF",Holstein Kiel,25,19,15,1263,14.0,7,2,9,7,0,0,3,0,4.1,4.1,1.3,5.5,25,33,72,0.5,0.14,0.64,0.5,0.64,0.29,0.1,0.39,0.29,0.39,3.0,0,21,15,2,34,5,14,0,27,14,51.9,1.92,1.0,0.26,0.5
Matus Bero,SVK,MF,Bochum,28,30,29,2565,28.5,5,2,7,5,0,1,11,0,4.0,3.0,3.7,6.7,29,143,111,0.18,0.07,0.25,0.18,0.25,0.14,0.13,0.27,0.11,0.24,3.0,0,50,34,1,123,18,36,0,32,13,40.6,1.12,0.46,0.16,0.38
Jan-Niklas Beste,GER,"FW,MF",Freiburg,25,12,0,212,2.4,0,1,1,0,0,0,0,0,0.9,0.9,0.4,1.3,5,8,20,0.0,0.42,0.42,0.0,0.42,0.38,0.16,0.54,0.38,0.54,7.0,0,3,6,1,20,0,3,0,6,2,33.3,2.55,0.85,0.0,0.0
El Bilal Toure,MLI,"FW,MF",Stuttgart,22,12,3,356,4.0,2,1,3,2,0,0,0,0,1.6,1.6,1.1,2.8,6,7,25,0.51,0.25,0.76,0.51,0.76,0.41,0.29,0.7,0.41,0.7,15.0,0,9,3,1,0,0,1,0,14,4,28.6,3.54,1.01,0.14,0.5
Tom Bischof,GER,"MF,FW",Hoffenheim,19,31,30,2559,28.4,5,2,7,5,0,0,5,0,2.2,2.2,3.6,5.9,47,138,102,0.18,0.07,0.25,0.18,0.25,0.08,0.13,0.21,0.08,0.21,30.0,0,46,33,1,145,32,54,0,51,18,35.3,1.79,0.63,0.1,0.28
Leonardo Bittencourt,GER,MF,Werder Bremen,30,27,10,982,10.9,2,1,3,2,0,0,3,0,1.6,1.6,1.6,3.2,19,64,38,0.18,0.09,0.27,0.18,0.27,0.15,0.14,0.29,0.15,0.29,1.5,0,15,19,2,23,15,8,0,27,9,33.3,2.47,0.82,0.07,0.22
Myron Boadu,NED,FW,Bochum,23,19,11,1042,11.6,9,1,10,8,1,1,2,0,7.7,6.9,1.1,8.0,12,18,70,0.78,0.09,0.86,0.69,0.78,0.67,0.1,0.76,0.6,0.69,7.0,0,11,6,12,2,1,1,0,28,15,53.6,2.42,1.3,0.29,0.53
Sacha Boey,FRA,DF,Bayern Munich,23,13,6,593,6.6,0,2,2,0,0,0,1,0,0.1,0.1,1.2,1.3,18,39,63,0.0,0.3,0.3,0.0,0.3,0.02,0.18,0.2,0.02,0.2,18.0,0,7,7,0,12,2,6,0,3,1,33.3,0.46,0.15,0.0,0.0
Victor Boniface,NGA,FW,Leverkusen,23,19,12,1008,11.2,8,1,9,8,0,1,2,0,7.8,7.1,1.1,8.1,26,23,61,0.71,0.09,0.8,0.71,0.8,0.7,0.1,0.8,0.63,0.73,40.0,0,14,8,6,6,0,4,0,51,18,35.3,4.55,1.61,0.16,0.44
Sebastiaan Bornauw,BEL,DF,Wolfsburg,25,15,8,788,8.8,2,1,3,2,0,0,2,0,1.2,1.2,0.5,1.7,3,21,1,0.23,0.11,0.34,0.23,0.34,0.14,0.06,0.2,0.14,0.2,6.0,0,12,2,0,1,12,6,0,8,3,37.5,0.91,0.34,0.25,0.67
Carlo Boukhalfa,MAR,MF,St. Pauli,25,25,19,1646,18.3,2,0,2,2,0,0,1,0,1.5,1.5,1.1,2.6,10,41,44,0.11,0.0,0.11,0.11,0.11,0.08,0.06,0.14,0.08,0.14,2.0,0,18,17,2,11,10,11,0,21,4,19.0,1.15,0.22,0.1,0.5
Julian Brandt,GER,MF,Dortmund,28,30,28,2303,25.6,5,10,15,5,0,0,1,0,4.8,4.8,8.5,13.2,61,149,199,0.2,0.39,0.59,0.2,0.59,0.19,0.33,0.52,0.19,0.52,25.0,0,8,9,5,68,14,12,0,45,15,33.3,1.76,0.59,0.11,0.33
Tim Breithaupt,GER,MF,Augsburg,22,2,2,120,1.3,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.4,1,10,1,0.0,0.75,0.75,0.0,0.75,0.04,0.29,0.33,0.04,0.33,2.5,0,2,3,0,1,2,1,0,1,0,0.0,0.75,0.0,0.0,0.0
Maximilian Breunig,GER,"FW,MF",Heidenheim,23,13,2,350,3.9,2,0,2,1,1,1,0,0,3.4,2.7,0.2,2.9,5,7,13,0.51,0.0,0.51,0.26,0.26,0.89,0.05,0.94,0.68,0.74,1.5,0,8,5,1,1,1,4,0,11,3,27.3,2.83,0.77,0.09,0.33
Moritz Broschinski,GER,"FW,MF",Bochum,23,33,15,1390,15.4,1,3,4,1,0,0,1,0,4.2,4.2,1.8,6.0,37,20,130,0.06,0.19,0.26,0.06,0.26,0.27,0.12,0.39,0.27,0.39,2.0,0,28,18,5,28,1,16,0,38,12,31.6,2.46,0.78,0.03,0.08
Nathaniel Brown,GER,"DF,MF",Eint Frankfurt,21,26,22,1947,21.6,3,6,9,3,0,0,2,0,2.2,2.2,5.1,7.3,45,63,119,0.14,0.28,0.42,0.14,0.42,0.1,0.24,0.34,0.1,0.34,22.0,0,15,22,0,93,16,42,0,13,5,38.5,0.6,0.23,0.23,0.6
Jacob Bruun Larsen,DEN,"MF,FW",Stuttgart,25,27,6,814,9.0,3,2,5,3,0,0,1,0,2.9,2.9,1.7999999999999998,4.7,35,35,81,0.33,0.22,0.56,0.33,0.56,0.32,0.2,0.52,0.32,0.52,5.0,0,4,4,9,36,2,4,0,20,10,50.0,2.22,1.11,0.15,0.3
Emi Buendia,ARG,MF,Leverkusen,27,11,3,257,2.9,2,0,2,2,0,0,0,0,0.9,0.9,0.9,1.8,2,14,24,0.7,0.0,0.7,0.7,0.7,0.31,0.3,0.61,0.31,0.61,15.0,0,6,7,0,3,1,5,0,7,4,57.1,2.45,1.4,0.29,0.5
Marius Bulter,GER,"FW,DF",Hoffenheim,31,25,22,1729,19.2,7,2,9,7,0,0,4,0,3.7,3.7,3.1,6.8,57,35,155,0.36,0.1,0.47,0.36,0.47,0.19,0.16,0.35,0.19,0.35,2.5,0,11,36,6,86,4,10,0,38,16,42.1,1.98,0.83,0.18,0.44
Jonathan Burkardt,GER,FW,Mainz 05,24,29,28,2109,23.4,18,2,20,16,2,2,0,0,14.8,13.2,3.1,16.3,32,42,157,0.77,0.09,0.85,0.68,0.77,0.63,0.13,0.76,0.56,0.7,35.0,0,23,24,11,27,1,7,0,72,30,41.7,3.07,1.28,0.22,0.53
Oliver Burke,SCO,FW,Werder Bremen,27,25,9,908,10.1,5,0,5,5,0,0,4,0,4.1,4.1,1.7,5.8,22,15,88,0.5,0.0,0.5,0.5,0.5,0.41,0.17,0.57,0.41,0.57,3.0,0,12,2,8,20,2,4,0,35,13,37.1,3.47,1.29,0.14,0.38
Marnon Busch,GER,"DF,MF",Heidenheim,29,23,15,1396,15.5,0,1,1,0,0,0,1,0,0.4,0.4,1.1,1.5,22,63,43,0.0,0.06,0.06,0.0,0.06,0.02,0.07,0.1,0.02,0.1,1.2,0,8,7,0,50,14,15,0,13,3,23.1,0.84,0.19,0.0,0.0
Anthony Caci,FRA,DF,Mainz 05,27,33,33,2684,29.8,1,7,8,1,0,0,6,0,3.1,3.1,6.6,9.7,45,133,152,0.03,0.23,0.27,0.03,0.27,0.1,0.22,0.32,0.1,0.32,12.0,0,37,11,15,134,27,37,0,32,12,37.5,1.07,0.4,0.03,0.08
Cole Campbell,USA,"MF,FW",Dortmund,18,4,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Emre Can,GER,"DF,MF",Dortmund,30,31,23,2105,23.4,3,0,3,1,2,2,4,1,2.0,0.4,0.7,1.1,20,116,12,0.13,0.0,0.13,0.04,0.04,0.08,0.03,0.11,0.02,0.05,7.0,0,25,19,0,10,20,27,0,9,3,33.3,0.38,0.13,0.11,0.33
Tiago Cardoso,LUX,GK,Gladbach,18,5,4,380,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Abdoulie Ceesay,GAM,FW,St. Pauli,20,7,0,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.5,0,2,3,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0
Julian Chabot,GER,DF,Stuttgart,26,31,27,2269,25.2,3,1,4,3,0,0,11,1,2.0,1.8,0.5,2.4,7,108,5,0.12,0.04,0.16,0.12,0.16,0.08,0.02,0.1,0.07,0.09,12.0,1,35,28,5,2,35,25,0,19,4,21.1,0.75,0.16,0.16,0.75
