Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Mahmoud Dahoud,GER,MF,Eintracht Frankfurt,28,4.0,2,0,0,10,2,0,4,2,4,,,0
Ameen Al-Dakhil,BEL,DF,Stuttgart,22,4.8,0,1,0,4,5,0,0,9,6,,,0
Bence DГЎrdai,HUN,MF,Wolfsburg,18,14.5,0,0,0,9,16,0,10,12,14,,,0
Lukas Daschner,GER,"FW,MF",Bochum,25,4.6,0,0,0,4,2,0,19,0,2,,,0
Alphonso Davies,CAN,DF,Bayern Munich,23,17.3,0,0,0,8,26,3,19,13,16,,,0
Olivier Deman,BEL,"FW,MF",Werder Bremen,24,0.7,1,0,0,1,2,0,6,4,3,,,0
Ermedin DemiroviД‡,BIH,FW,Stuttgart,26,20.6,2,0,0,24,27,18,3,1,7,,,0
Justin Diehl,GER,MF,Stuttgart,19,1.2,0,0,0,2,0,0,10,0,0,,,0
Eric Dier,ENG,DF,Bayern Munich,30,16.3,1,0,0,16,4,1,2,14,12,,,0
Junior Dina Ebimbe,CMR,MF,Eintracht Frankfurt,23,3.3,0,0,0,10,4,1,8,7,2,,,0
Eren DinkГ§i,GER,MF,Freiburg,22,13.3,1,0,0,9,6,1,16,7,14,,,0
Ritsu Doan,JPN,MF,Freiburg,26,31.8,2,0,0,27,56,8,80,14,43,,,0
Danilho Doekhi,NED,DF,Union Berlin,26,34.0,4,0,0,36,14,2,10,44,23,,,0
Niklas Dorsch,GER,MF,Heidenheim,26,15.200000000000001,5,1,0,15,22,0,37,16,18,,,0
Patrick Drewes,GER,GK,Bochum,31,21.0,2,0,0,1,3,0,0,0,0,,,0
Tim Drexler,GER,DF,Hoffenheim,19,4.0,2,0,0,8,2,0,1,0,8,,,0
Marvin Ducksch,GER,FW,Werder Bremen,30,26.9,3,0,0,6,17,14,169,7,6,,,0
Julien Duranville,BEL,MF,Dortmund,18,3.1,3,0,0,10,7,2,13,0,0,,,0
Adam DЕєwigaЕ‚a,POL,DF,St Pauli,28,4.1,2,1,0,5,3,0,3,3,10,,,0
Johannes Eggestein,GER,FW,St Pauli,26,20.6,3,0,0,12,12,14,35,0,4,,,0
Maximilian Eggestein,GER,MF,Freiburg,27,31.6,4,0,0,22,24,1,9,39,31,,,0
Hugo Ekitike,FRA,FW,Eintracht Frankfurt,22,28.5,1,0,0,39,17,19,17,5,12,,,0
Elif Elmas,MKD,"FW,MF",RB Leipzig,24,0.5,1,0,0,2,0,1,0,0,1,,,0
Nico Elvedi,SUI,DF,Gladbach,27,23.7,1,0,0,9,15,1,1,27,24,,,1
Arne Engels,BEL,FW,Augsburg,20,0.9,1,0,0,3,1,0,4,0,0,,,0
Patrick Erras,GER,DF,Holstein Kiel,29,9.2,2,0,0,10,0,0,0,9,6,,,0
Samuel Essende,COD,FW,Augsburg,26,18.2,4,2,0,45,34,13,5,1,6,,,0
Frank Feller,GER,GK,Heidenheim,20,1.3,0,0,0,0,0,0,0,0,0,,,0
Kilian Fischer,GER,DF,Wolfsburg,23,25.5,7,0,0,34,7,0,39,19,46,,,0
Jonas FГ¶hrenbach,GER,"DF,MF",Heidenheim,28,20.4,3,0,0,13,4,1,58,15,24,,,0
Marco Friedl,AUT,DF,Werder Bremen,26,24.0,10,2,1,26,16,3,2,36,41,,,2
Marvin Friedrich,GER,DF,Gladbach,28,11.0,0,0,0,5,4,0,0,6,9,,,0
Jeremie Frimpong,NED,MF,Leverkusen,23,25.7,4,0,0,20,31,9,113,8,24,,,0
Chris FГјhrich,GER,MF,Stuttgart,26,22.0,1,0,0,9,6,1,83,7,11,,,0
ShiЕЌ Fukuda,JPN,FW,Gladbach,20,0.7,0,0,0,2,0,1,1,0,0,,,0
Cristian Gamboa,CRC,MF,Bochum,34,2.5,1,0,0,1,3,0,6,2,3,,,0
Aleix GarcГ­a,ESP,MF,Leverkusen,27,16.2,3,0,0,8,9,1,93,14,9,,,0
Viggo Gebel,GER,MF,RB Leipzig,16,0.2,0,0,0,0,1,0,0,0,0,,,0
Lutsharel Geertruida,NED,DF,RB Leipzig,24,17.3,2,0,0,17,6,1,13,16,24,,,0
Dennis Geiger,GER,MF,Hoffenheim,26,8.2,4,0,0,26,10,0,5,7,14,,,0
Valentin Gendrey,FRA,"DF,MF",Hoffenheim,24,15.7,1,0,0,12,27,2,51,15,13,,,0
Yannick Gerhardt,GER,"MF,DF",Wolfsburg,30,16.9,5,1,0,20,13,2,23,16,14,,,0
Max Geschwill,GER,DF,Holstein Kiel,23,14.2,2,0,0,13,9,1,10,31,22,,,1
Dimitris Giannoulis,GRE,MF,Augsburg,28,29.4,8,0,0,17,20,1,120,47,33,,,0
Armin Gigovic,BIH,MF,Holstein Kiel,22,21.1,5,0,0,22,28,2,14,22,14,,,0
Benedikt Gimber,GER,DF,Heidenheim,27,29.7,9,0,0,63,49,1,3,32,47,,,0
Matthias Ginter,GER,DF,Freiburg,30,28.5,5,0,0,13,26,1,12,17,17,,,0
Jamie Gittens,ENG,MF,Dortmund,19,19.7,4,0,0,25,44,3,49,10,17,,,0
Serge Gnabry,GER,"MF,FW",Bayern Munich,29,13.8,0,0,0,19,6,8,22,6,10,,,0
Tidiam Gomis,FRA,FW,RB Leipzig,17,1.7,2,0,0,3,2,2,4,1,0,,,0
Leon Goretzka,GER,MF,Bayern Munich,29,14.7,2,0,0,12,11,0,6,17,9,,,0
Robin Gosens,GER,MF,Union Berlin,30,1.0,1,0,0,5,0,0,1,1,0,,,0
Mario GГ¶tze,GER,MF,Eintracht Frankfurt,32,17.1,1,0,0,15,15,1,39,7,28,,,0
Jeffrey Gouweleeuw,NED,DF,Augsburg,33,32.7,9,0,0,22,13,2,17,39,31,,,0
Kamil Grabara,POL,GK,Wolfsburg,25,28.7,2,0,0,0,3,0,0,0,0,,,0
Michael Gregoritsch,AUT,FW,Freiburg,30,7.1,2,0,0,7,5,4,1,1,2,,,0
Vincenzo Grifo,ITA,MF,Freiburg,31,27.0,2,0,0,15,12,2,157,8,21,,,0
Florian Grillitsch,AUT,"MF,DF",Hoffenheim,28,6.7,1,0,0,4,11,0,5,9,9,,,0
ГЃlex Grimaldo,ESP,MF,Leverkusen,28,29.3,6,1,1,15,25,8,217,17,15,,,0
Pascal GroГџ,GER,"MF,DF",Dortmund,33,25.9,5,1,0,18,12,0,178,9,29,,,0
