Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Caio Paulista,BRA,DF,Palmeiras,25,24,15,1201,13.3,0,0,0,0,0,0,1,1,0.5,0.5,0.9,1.4,39,74,80,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1,4.0,0,15,14,4,49,10,21,0
Cristian Pavon,ARG,"FW,MF",Grêmio,28,21,16,1087,12.1,1,3,4,1,0,0,4,0,2.5,2.5,2.3,4.7,29,43,93,0.08,0.25,0.33,0.08,0.33,0.21,0.19,0.39,0.21,0.39,5.0,0,12,7,1,58,7,8,0
Dimitri Payet,FRA,"MF,FW",Vasco da Gama,36,23,16,1220,13.6,3,3,6,2,1,1,2,0,1.8,1.0,2.6,3.6,24,100,79,0.22,0.22,0.44,0.15,0.37,0.14,0.19,0.33,0.08,0.27,3.0,0,10,26,2,82,8,10,0
Pedrao,BRA,DF,Atl Goianiense,31,12,7,587,6.5,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,2,11,1,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,1.4,0,9,4,0,0,1,8,0
Pedrinho,BRA,"MF,DF",Atlético Mineiro,25,8,1,207,2.3,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,5,21,25,0.0,0.0,0.0,0.0,0.0,0.05,0.17,0.22,0.05,0.22,12.0,0,1,4,0,4,1,5,0
Pedro,BRA,FW,Flamengo,26,21,19,1653,18.4,11,5,16,7,4,5,3,0,10.6,6.7,2.2,8.8,16,36,74,0.6,0.27,0.87,0.38,0.65,0.58,0.12,0.7,0.36,0.48,20.0,0,14,27,3,2,7,5,0
Joao Pedro,BRA,MF,Vasco da Gama,18,10,4,432,4.8,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,4,20,14,0.0,0.21,0.21,0.0,0.21,0.05,0.04,0.1,0.05,0.1,0.0,0,7,4,1,1,2,9,0
Joao Pedro,BRA,DF,Corinthians,20,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Joao Pedro,ITA,FW,Grêmio,31,11,7,580,6.4,0,0,0,0,0,0,0,0,0.9,0.9,0.2,1.1,2,9,26,0.0,0.0,0.0,0.0,0.0,0.14,0.03,0.17,0.14,0.17,9.0,0,13,15,0,0,1,0,0
Joao Pedro,BRA,DF,Grêmio,27,32,31,2754,30.6,1,4,5,1,0,0,3,0,1.2,1.2,2.3,3.5,61,120,123,0.03,0.13,0.16,0.03,0.16,0.04,0.08,0.11,0.04,0.11,0.4,0,15,15,1,40,18,21,0
Joao Pedro Pepe,BRA,MF,Grêmio,26,26,15,1283,14.3,1,0,1,1,0,0,2,1,0.6,0.6,0.4,1.0,21,81,28,0.07,0.0,0.07,0.07,0.07,0.04,0.03,0.07,0.04,0.07,1.5,0,25,39,1,7,20,28,0
Peixoto,BRA,MF,Juventude,26,2,0,20,0.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.52,0.52,0.52,0.0,0,1,0,0,0,0,2,0
Leo Pele,BRA,DF,Vasco da Gama,27,30,30,2700,30.0,0,1,1,0,0,0,3,0,1.5,1.5,0.7,2.1,26,78,5,0.0,0.03,0.03,0.0,0.03,0.05,0.02,0.07,0.05,0.07,3.0,0,27,14,1,6,28,21,0
Carlos de Pena,URU,MF,Bahia,31,30,4,683,7.6,0,3,3,0,0,0,5,0,1.0,1.0,2.3,3.4,14,68,28,0.0,0.4,0.4,0.0,0.4,0.13,0.31,0.44,0.13,0.44,4.0,0,10,7,0,59,15,9,0
Fabrizio Peralta,PAR,MF,Cruzeiro,21,9,3,275,3.1,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,3,17,4,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.1,0.04,0.1,0.0,0,10,3,0,5,3,7,0
Leo Pereira,BRA,DF,Flamengo,28,28,21,2023,22.5,0,0,0,0,0,0,6,0,0.7,0.7,1.0,1.6,20,142,27,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,4.0,0,18,13,1,27,14,21,0
Matheus Pereira,BRA,"FW,MF",Cruzeiro,27,34,31,2823,31.4,8,7,15,8,0,0,11,1,5.3,5.2,5.7,10.9,89,224,175,0.26,0.22,0.48,0.26,0.48,0.17,0.18,0.35,0.17,0.35,10.0,1,34,98,8,171,8,15,0
Yago Pikachu,BRA,"FW,MF",Fortaleza,31,32,18,1633,18.1,2,4,6,2,0,0,6,0,3.6,3.6,1.9,5.5,25,60,117,0.11,0.22,0.33,0.11,0.33,0.2,0.11,0.3,0.2,0.3,1.8,0,11,41,4,44,15,13,0
Joaquin Piquerez,URU,DF,Palmeiras,25,16,15,1314,14.6,2,0,2,1,1,1,2,0,2.0,1.2,2.0,3.2,29,87,73,0.14,0.0,0.14,0.07,0.07,0.14,0.14,0.27,0.08,0.22,5.0,0,11,18,0,79,10,13,0
Rafael Pires,BRA,GK,São Paulo,34,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0,0,2,0,0,0,0,0
Lucas Piton,BRA,DF,Vasco da Gama,23,32,31,2703,30.0,1,5,6,1,0,0,5,0,0.6,0.6,3.6,4.2,63,104,143,0.03,0.17,0.2,0.03,0.2,0.02,0.12,0.14,0.02,0.14,6.0,0,34,11,0,184,40,42,0
