Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,league,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Fabian Balbuena,PAR,DF,Dynamo Mosc,32.0,18.0,17.0,1528.0,17.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.12,0.06,0.18,0.12,0.18,2.0,0.0,5.0,5.0,2.0,8.0,27.0,24.0,0.0,11.0,4.0,36.4,0.65,0.24,0.18,0.5,RU1,,,,,,,,,,,,
Artem Bandikian,ARM,DF,CSKA Moscow,18.0,3.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Aleksei Baranovskii,RUS,MF,Orenburg,19.0,13.0,0.0,185.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,7.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0,1.0,12.5,3.89,0.49,0.0,0.0,RU1,,,,,,,,,,,,
Esequiel Barco,ARG,MF,Spartak Moscow,25.0,27.0,27.0,2368.0,26.3,12.0,7.0,19.0,5.0,7.0,8.0,5.0,0.0,0.46,0.27,0.72,0.19,0.46,14.0,0.0,10.0,76.0,0.0,114.0,16.0,17.0,0.0,79.0,29.0,36.7,3.0,1.1,0.06,0.17,RU1,,,,,,,,,,,,
Vyacheslav Bardybakhin,RUS,DF,FK Akron Tolyatti,22.0,8.0,2.0,161.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,6.0,0.0,0.0,4.0,4.0,5.0,0.0,1.0,1.0,100.0,0.56,0.56,0.0,0.0,RU1,,,,,,,,,,,,
Dmitri Barinov,RUS,MF,Loko Moscow,27.0,26.0,26.0,2288.0,25.4,0.0,3.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.12,0.12,0.0,0.12,8.0,0.0,36.0,23.0,0.0,18.0,35.0,23.0,0.0,32.0,9.0,28.1,1.26,0.35,0.0,0.0,RU1,,,,,,,,,,,,
Wi­lmar Barrios,COL,MF,Zenit,30.0,28.0,28.0,2446.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,34.0,44.0,0.0,11.0,38.0,47.0,0.0,4.0,1.0,25.0,0.15,0.04,0.0,0.0,RU1,,,,,,,,,,,,
Ivan Basic,BIH,MF,Orenburg,22.0,27.0,24.0,2153.0,23.9,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,0.04,0.04,0.08,0.04,0.08,1.2,0.0,35.0,34.0,2.0,119.0,12.0,16.0,0.0,40.0,8.0,20.0,1.67,0.33,0.03,0.13,RU1,,,,,,,,,,,,
Aleksei Batrakov,RUS,"MF,FW",Loko Moscow,19.0,29.0,29.0,2533.0,28.1,14.0,7.0,21.0,10.0,4.0,4.0,6.0,0.0,0.5,0.25,0.75,0.36,0.6,12.0,0.0,35.0,54.0,3.0,175.0,18.0,21.0,0.0,45.0,28.0,62.2,1.6,0.99,0.22,0.36,RU1,,,,,,,,,,,,
Batxi,ANG,MF,Krasnodar,26.0,30.0,28.0,2210.0,24.6,5.0,7.0,12.0,5.0,0.0,0.0,3.0,0.0,0.2,0.29,0.49,0.2,0.49,5.0,0.0,8.0,32.0,5.0,65.0,8.0,12.0,0.0,32.0,13.0,40.6,1.3,0.53,0.16,0.38,RU1,,,,,,,,,,,,
