Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Eliano Reijnders,IDN,DF,Zwolle,23.0,21,11,1207,13.4,1,0,1,1,0,0,1,0,0.5,0.5,0.8,1.3,22,51,56,0.07,0.0,0.07,0.07,0.07,0.04,0.06,0.1,0.04,0.1,0.6,0,7,4,0,18,18,15,0,13,5,38.5,0.97,0.37,0.08,0.2
Boyd Reith,NED,DF,Sparta R'dam,25.0,13,9,870,9.7,0,0,0,0,0,0,2,0,0.2,0.2,0.8,0.9,13,41,64,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1,0.4,0,10,7,0,44,8,21,1,3,2,66.7,0.31,0.21,0.0,0.0
Devyne Rensch,NED,DF,Ajax,21.0,14,13,1113,12.4,1,0,1,1,0,0,2,0,1.2,1.2,1.7,2.9,16,72,47,0.08,0.0,0.08,0.08,0.08,0.1,0.13,0.23,0.1,0.23,10.0,0,5,20,2,15,17,23,0,15,5,33.3,1.21,0.4,0.07,0.2
Marco Rente,GER,DF,Groningen,27.0,30,30,2590,28.8,2,1,3,2,0,0,4,1,1.4,1.4,1.4,2.8,22,114,50,0.07,0.03,0.1,0.07,0.1,0.05,0.05,0.1,0.05,0.1,0.8,1,18,16,0,37,56,39,0,14,5,35.7,0.49,0.17,0.14,0.4
Stije Resink,NED,MF,Groningen,21.0,29,28,2365,26.200000000000003,5,2,7,5,0,0,8,0,2.8000000000000003,2.8000000000000003,1.6,4.4,36,125,35,0.19,0.08,0.27,0.19,0.27,0.11,0.06,0.17,0.11,0.17,4.0,0,40,25,0,20,25,67,0,42,17,40.48,1.6,0.65,0.12,0.29
Milan Robberechts,BEL,MF,Fortuna Sittard,20.0,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0,3,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
Thomas Robinet,FRA,"MF,FW",Almere City,27.0,32,32,2704,30.0,2,2,4,2,0,0,4,0,5.5,5.5,4.1,9.6,13,63,115,0.07,0.07,0.13,0.07,0.13,0.18,0.14,0.32,0.18,0.32,0.4,0,32,17,6,21,16,22,0,50,15,30.0,1.66,0.5,0.04,0.13
Miguel Rodriguez,ESP,"FW,MF",Utrecht,21.0,22,15,1241,13.8,7,3,10,7,0,0,5,0,4.4,4.4,3.7,8.0,44,42,118,0.51,0.22,0.73,0.51,0.73,0.32,0.27,0.58,0.32,0.58,4.5,0,17,32,0,40,21,18,0,54,19,35.2,3.92,1.38,0.13,0.37
Robin Roefs,NED,GK,NEC Nijmegen,21.0,32,32,2880,32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,6,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0
Godfried Roemeratoe,CUW,MF,RKC Waalwijk,24.0,25,17,1517,16.9,1,1,2,1,0,0,3,0,0.7,0.7,0.5,1.3,14,66,6,0.06,0.06,0.12,0.06,0.12,0.04,0.03,0.08,0.04,0.08,0.5,0,23,12,0,1,18,21,0,9,1,11.1,0.53,0.06,0.11,1.0
