Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Evgenii Staver,RUS,GK,Rubin Kazan,26,28,28,2520,28.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.5,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
Danil Stepanov,RUS,"DF,MF",FC Khimki,24,15,8,737,8.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.6,0,9,13,0,19,13,15,0,3,0,0.0,0.37,0.0,0.0,0.0
Semen Stolbov,RUS,DF,Orenburg,21,2,1,111,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0,5,1,0,2,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0
Timur Suleimanov,RUS,FW,Loko Moscow,24,29,3,768,8.5,1,0,1,1,0,0,7,0,0.12,0.0,0.12,0.12,0.12,1.2,0,39,16,6,6,2,5,0,19,5,26.3,2.23,0.59,0.05,0.2
Arciom Sumanski,BLR,FW,CSKA Moscow,19,5,1,96,1.1,1,0,1,1,0,0,1,0,0.94,0.0,0.94,0.94,0.94,0.7,0,2,2,1,2,0,0,0,4,3,75.0,3.75,2.81,0.25,0.33
Temirkhan Sundukov,RUS,"MF,DF",D'mo Makhachkala,22,26,22,1971,21.9,1,1,2,1,0,0,7,0,0.05,0.05,0.09,0.05,0.09,0.8,0,37,16,0,55,21,45,0,18,6,33.3,0.82,0.27,0.06,0.17
Aleksei Sutormin,RUS,"FW,DF",Rostov,30,24,14,1221,13.6,0,1,1,0,0,0,2,1,0.0,0.07,0.07,0.0,0.07,1.0,0,24,19,4,59,7,23,0,17,2,11.8,1.25,0.15,0.0,0.0
Maksim Syshchenko,RUS,DF,Orenburg,20,3,3,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0,4,0,0,0,1,2,0,0,0,0.0,0.0,0.0,0.0,0.0
Nikolai Sysuyev,RUS,GK,Orenburg,25,14,13,1184,13.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.8,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Jemal Tabidze,GEO,DF,D'mo Makhachkala,28,19,18,1490,16.6,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.8,0,14,16,0,5,27,23,0,9,2,22.2,0.54,0.12,0.0,0.0
Kasra Taheri,IRN,FW,Rubin Kazan,17,2,0,14,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0,3,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Amine Talal,MAR,"MF,FW",Akhmat Grozny,28,18,11,940,10.4,2,0,2,2,0,0,2,0,0.19,0.0,0.19,0.19,0.19,0.8,0,11,21,5,2,2,8,0,20,9,45.0,1.91,0.86,0.1,0.22
Aleksei Tatayev,RUS,DF,Orenburg,25,9,9,760,8.4,1,0,1,1,0,0,4,0,0.12,0.0,0.12,0.12,0.12,0.8,0,19,14,0,2,16,9,0,3,1,33.3,0.36,0.12,0.33,1.0
Mavis Tchibota,CGO,FW,FK Akron Tolyatti,28,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Sergei Terekhov,RUS,DF,FC Khimki,34,8,6,510,5.7,0,1,1,0,0,0,2,0,0.0,0.18,0.18,0.0,0.18,0.25,0,6,7,0,5,11,11,0,0,0,0.0,0.0,0.0,0.0,0.0
Egor Teslenko,GRE,DF,Rubin Kazan,23,27,27,2379,26.4,3,2,5,3,0,0,9,1,0.11,0.08,0.19,0.11,0.19,2.0,1,28,18,1,7,41,34,0,22,8,36.4,0.83,0.3,0.14,0.38
Jordhy Thompson,CHI,MF,Orenburg,19,9,1,189,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.35,0,0,1,0,13,1,2,0,5,2,40.0,2.38,0.95,0.0,0.0
Dmitri Tikhiy,RUS,DF,Nizhny Novgorod,31,4,4,313,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.35,0,5,2,0,5,5,2,0,3,1,33.3,0.86,0.29,0.0,0.0
Nair Tiknizyan,ARM,"MF,DF",Loko Moscow,25,23,10,1049,11.7,2,0,2,2,0,0,2,0,0.17,0.0,0.17,0.17,0.17,4.0,0,9,4,5,32,10,10,0,21,6,28.6,1.8,0.51,0.1,0.33
Artyom Timofeyev,RUS,MF,Loko Moscow,30,13,7,546,6.1,1,1,2,1,0,0,4,1,0.16,0.16,0.33,0.16,0.33,1.5,1,14,5,0,6,16,5,0,7,4,57.1,1.15,0.66,0.14,0.25
Ivan Timoshenko,RUS,FW,FK Akron Tolyatti,25,11,4,427,4.7,1,0,1,1,0,0,0,0,0.21,0.0,0.21,0.21,0.21,0.65,0,6,4,0,0,0,2,0,12,1,8.3,2.53,0.21,0.08,1.0
Darko Todorovic,BIH,"DF,MF",Akhmat Grozny,27,27,24,2151,23.9,0,1,1,0,0,1,6,0,0.0,0.04,0.04,0.0,0.04,1.0,0,34,25,3,53,33,28,0,16,3,18.8,0.67,0.13,0.0,0.0
