Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Giorgi Mamardashvili,GEO,GK,Valencia,23,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0,1,6,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0
Reinildo Mandava,MOZ,DF,Atlético Madrid,30,19,10,941,10.5,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,14,34,15,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,5.0,0,19,18,1,8,16,10,0,1,1,100.0,0.1,0.1,0.0,0.0
Javier Manquillo,ESP,DF,Celta Vigo,30,10,7,515,5.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,24,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,9,1,0,3,5,6,0,0,0,0.0,0.0,0.0,0.0,0.0
Marcao,BRA,DF,Sevilla,28,12,6,552,6.1,0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0,19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,9,10,0,0,7,6,0,0,0,0.0,0.0,0.0,0.0,0.0
Oscar de Marcos,ESP,DF,Athletic Club,35,26,17,1564,17.4,0,4,4,0,0,0,0,0,1.0,1.0,2.6,3.6,26,102,78,0.0,0.23,0.23,0.0,0.23,0.06,0.15,0.21,0.06,0.21,1.5,0,16,5,1,54,16,17,0,8,2,25.0,0.46,0.12,0.0,0.0
Alberto Mari,ESP,FW,Valencia,23,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Jose Maria Gimenez,URU,DF,Atlético Madrid,29,27,20,1999,22.2,0,1,1,0,0,0,5,0,0.4,0.4,0.2,0.7,3,64,1,0.0,0.05,0.05,0.0,0.05,0.02,0.01,0.03,0.02,0.03,20.0,0,13,12,0,0,28,16,1,5,1,20.0,0.23,0.05,0.0,0.0
Arkaitz Mariezkurrena,ESP,"FW,MF",Real Sociedad,19,9,1,241,2.7,2,0,2,2,0,0,1,0,1.0,1.0,0.1,1.1,3,4,12,0.75,0.0,0.75,0.75,0.75,0.36,0.06,0.41,0.36,0.41,0.7,0,13,1,0,5,1,0,0,10,5,50.0,3.73,1.87,0.2,0.4
Pablo Marin,ESP,MF,Real Sociedad,21,23,14,1239,13.8,1,2,3,1,0,0,3,0,1.4,1.4,1.0,2.4,20,45,47,0.07,0.15,0.22,0.07,0.22,0.1,0.07,0.17,0.1,0.17,8.0,0,19,16,0,12,5,17,0,21,7,33.3,1.53,0.51,0.05,0.14
Mika Marmol,ESP,DF,Las Palmas,23,30,27,2399,26.7,0,1,1,0,0,0,5,0,0.4,0.4,1.5,1.9,33,106,62,0.0,0.04,0.04,0.0,0.04,0.02,0.06,0.07,0.02,0.07,10.0,0,33,8,3,59,36,34,0,10,0,0.0,0.38,0.0,0.0,0.0
Mario Maroto,ESP,MF,Valladolid,20,2,0,64,0.7,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,0,0.0,1.41,1.41,0.0,1.41,0.02,0.09,0.12,0.02,0.12,0.2,0,2,0,0,2,2,0,0,1,0,0.0,1.41,0.0,0.0,0.0
Unai Marrero,ESP,GK,Real Sociedad,22,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Carlos Martin,ESP,"FW,MF",Alavés,22,26,16,1333,14.8,2,2,4,2,0,0,3,0,2.3,2.3,2.7,5.0,13,21,67,0.14,0.14,0.27,0.14,0.27,0.15,0.19,0.34,0.15,0.34,2.8,0,31,28,6,24,5,20,0,26,12,46.2,1.76,0.81,0.08,0.17
Diego Martin,ESP,FW,Las Palmas,20,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,5,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,0.0,0,0,1,0,4,0,1,0,1,0,0.0,2.25,0.0,0.0,0.0
Gerard Martin,ESP,DF,Barcelona,22,28,11,1038,11.5,1,3,4,1,0,0,2,0,0.5,0.5,1.1,1.6,10,40,122,0.09,0.26,0.35,0.09,0.35,0.04,0.1,0.14,0.04,0.14,12.0,0,14,9,0,35,15,10,0,7,2,28.6,0.61,0.17,0.14,0.5
Ivan Martin,ESP,MF,Girona,25,32,24,2039,22.7,1,1,2,1,0,0,1,0,1.8,1.8,1.9,3.6,57,131,76,0.04,0.04,0.09,0.04,0.09,0.08,0.08,0.16,0.08,0.16,6.0,0,21,15,4,21,12,19,0,11,3,27.3,0.49,0.13,0.09,0.33
