Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Daniil Fomin,RUS,MF,Dynamo Moscow,27,22.7,5,44,17,38.6,1.94,0.75,0.11,0.29,0,0
Albert Gabaraev,RUS,DF,Fakel Voronezh,26,2.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Abakar Gadzhiev,RUS,FW,D'mo Makhachkala,20,11.1,1,27,5,18.5,2.42,0.45,0.04,0.2,0,0
Shamil Gadzhiev,RUS,MF,D'mo Makhachkala,19,0.1,1,3,1,33.3,38.57,12.86,0.33,1.0,0,0
Luka Gagnidze,GEO,MF,Dynamo Moscow,21,2.7,2,7,4,57.14,2.59,1.48,0.29,0.5,0,0
Adolfo Gaich,ARG,FW,CSKA Moscow,25,0.1,0,1,1,100.0,8.18,8.18,0.0,0.0,0,0
Milan GajiД‡,SRB,"MF,DF",CSKA Moscow,28,13.9,0,6,1,16.7,0.43,0.07,0.0,0.0,0,0
Thomas Galdames,CHI,DF,Samara,25,13.9,3,15,6,40.0,1.08,0.43,0.2,0.5,0,0
Artur Galoyan,ARM,MF,FK Akron Tolyatti,25,2.1,1,8,3,37.5,3.83,1.44,0.13,0.33,0,0
Ilya Gaponov,RUS,DF,Samara,26,7.2,0,1,0,0.0,0.14,0.0,0.0,0.0,0,0
Levi Garcia,TRI,"FW,MF",Spartak Moscow,26,7.0,1,26,10,38.5,3.73,1.43,0.04,0.1,0,0
BenjamГ­n GarrГ©,ARG,MF,Samara,24,10.1,1,14,3,21.4,1.38,0.3,0.0,0.0,1,1
Yuri Gazinskiy,RUS,MF,Krasnodar,35,0.2,1,1,1,100.0,6.0,6.0,1.0,1.0,0,0
Nader Ghandri,TUN,DF,Akhmat Grozny,29,19.1,3,29,11,37.9,1.52,0.58,0.07,0.18,1,2
Mohammed Ghorbani,IRN,MF,Orenburg,23,15.0,1,22,5,22.7,1.46,0.33,0.05,0.2,0,0
Nikolai Giorgobiani,RUS,"MF,FW",Fakel Voronezh,27,6.0,2,10,5,50.0,1.67,0.84,0.2,0.4,0,0
Yaroslav Gladyshev,RUS,"MF,FW",Dynamo Moscow,21,18.7,10,64,33,51.6,3.42,1.76,0.16,0.3,0,0
Dan Glazer,ISR,MF,Nizhny Novgorod,27,5.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Danil Glebov,RUS,MF,Rostov,24,26.1,2,32,6,18.75,1.23,0.23,0.06,0.33,0,0
Kirill Glebov,RUS,FW,CSKA Moscow,18,4.9,1,11,5,45.5,2.23,1.01,0.09,0.2,0,0
Denis Glushakov,RUS,MF,FC Khimki,37,0.6,0,4,0,0.0,7.06,0.0,0.0,0.0,0,0
Kirill Glushchenkov,RUS,MF,Nizhny Novgorod,24,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Maksim Glushenkov,RUS,MF,Zenit,25,14.0,9,49,25,51.0,3.49,1.78,0.18,0.36,0,0
Nikita Glushkov,RUS,MF,D'mo Makhachkala,25,25.9,0,10,1,10.0,0.39,0.04,0.0,0.0,0,0
Danila Godiaev,RUS,MF,Loko Moscow,20,5.8,0,1,0,0.0,0.17,0.0,0.0,0.0,0,0
Leo Goglichidze,RUS,DF,Akhmat Grozny,27,2.3,0,2,0,0.0,0.89,0.0,0.0,0.0,0,0
CГЁdric Gogoua,CIV,DF,FC Khimki,30,1.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Yegor Golenkov,RUS,FW,Rostov,25,12.5,5,45,17,37.8,3.6,1.36,0.11,0.29,0,0
Petar GoluboviД‡,SRB,"DF,MF",FC Khimki,30,9.8,0,5,1,20.0,0.51,0.1,0.0,0.0,0,0
Luciano Gondou,ARG,"FW,MF",Zenit,23,15.6,10,50,22,44.0,3.2,1.41,0.2,0.45,0,0
Giovanni GonzГЎlez,URU,DF,Krasnodar,29,11.6,0,6,0,0.0,0.52,0.0,0.0,0.0,0,0
Yuri Gorshkov,RUS,"MF,DF",Zenit,25,5.6,0,3,1,33.3,0.53,0.18,0.0,0.0,0,0
Kirill Gotsuk,RUS,DF,Nizhny Novgorod,31,18.7,0,10,0,0.0,0.53,0.0,0.0,0.0,0,0
Sergei Gribov,RUS,FW,FK Akron Tolyatti,19,2.6,0,1,0,0.0,0.38,0.0,0.0,0.0,0,0
Aleksei Gritsayenko,RUS,DF,Rubin Kazan,29,22.5,0,6,0,0.0,0.27,0.0,0.0,0.0,0,0
Vyacheslav Grulyov,RUS,"FW,MF",Nizhny Novgorod,25,8.2,5,22,11,50.0,2.68,1.34,0.23,0.45,1,1
SaГєl Guarirapa,VEN,FW,CSKA Moscow,21,10.1,5,30,11,36.7,2.98,1.09,0.17,0.45,0,0
Vitali Gudiyev,RUS,GK,Fakel Voronezh,29,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Emircan GГјrlГјk,TUR,MF,Orenburg,20,11.2,2,31,14,45.2,2.76,1.25,0.06,0.14,0,0
Hidajet HankiД‡,BIH,GK,Rostov,30,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Luiz Henrique,BRA,MF,Zenit,23,10.6,2,31,8,25.8,2.92,0.75,0.06,0.25,0,0
Veldin HodЕѕa,KVX,MF,Rubin Kazan,21,14.1,2,18,5,27.8,1.28,0.36,0.11,0.4,0,0
Javad Hosseinnezhad,IRN,"MF,FW",D'mo Makhachkala,21,11.7,3,31,8,25.8,2.65,0.68,0.1,0.38,0,0
Turpal Ibishev,RUS,DF,Akhmat Grozny,22,16.3,0,15,2,13.3,0.92,0.12,0.0,0.0,0,0
German Ignatov,RUS,DF,Rostov,18,6.1,0,5,0,0.0,0.82,0.0,0.0,0.0,0,0
Mikhail Ignatov,RUS,"MF,FW",Spartak Moscow,24,2.4,0,8,1,12.5,3.33,0.42,0.0,0.0,0,0
Vladimir Ilyin,RUS,FW,Fakel Voronezh,32,20.6,3,42,13,31.0,2.04,0.63,0.02,0.08,2,2
Oleg Isaenko,RUS,DF,FC Khimki,24,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Wilson Isidor,FRA,"FW,MF",Zenit,23,0.7,1,4,2,50.0,5.81,2.9,0.25,0.5,0,0
Dmytro Ivanisenya,UKR,MF,Samara,30,4.3,0,2,2,100.0,0.47,0.47,0.0,0.0,0,0
Oleg Ivanov,RUS,MF,Rubin Kazan,37,6.8,0,6,4,66.7,0.88,0.59,0.0,0.0,0,0
Andrei Ivlev,RUS,MF,Fakel Voronezh,17,10.4,0,14,2,14.3,1.35,0.19,0.0,0.0,0,0
Uguchukwu Iwu,ARM,MF,Rubin Kazan,24,23.8,0,16,0,0.0,0.67,0.0,0.0,0.0,0,0
